iso3c,production,reported_by_fao,year,nutrient,nearest,country_application,method,gapfilled
PRY,40807672.72664807,Yes,2014,K2O,PRY,174831.57,none,0
BEL,37881620.430979386,Yes,2014,K2O,BEL,47895.276,none,0
SWE,37143224.497521594,Yes,2014,K2O,SWE,26946.347999999998,none,0
ECU,36358870.95008872,Yes,2014,K2O,ECU,112567.2,none,0
CHL,35358705.215926774,Yes,2014,K2O,CHL,85595,none,0
HUN,33193416.77833699,Yes,2014,K2O,HUN,66881.1,none,0
KOR,33154489.12534804,Yes,2014,K2O,KOR,147991.65,none,0
DZA,32143603.141003493,Yes,2014,K2O,DZA,36000,none,0
GRC,31918293.246788524,Yes,2014,K2O,GRC,36208.458,none,0
KAZ,29929723.955679696,Yes,2014,K2O,KAZ,3478,none,0
CZE,29788124.38627481,Yes,2014,K2O,CZE,29375.346,none,0
PRT,28506095.278970405,Yes,2014,K2O,PRT,32196.904739999998,none,0
NPL,26876323.37709631,Yes,2014,K2O,NPL,3743,none,0
CUB,26294904.08919849,Yes,2014,K2O,CUB,70869.09,none,0
GHA,24756986.966226343,Yes,2014,K2O,GHA,19989,none,0
SRB,22487966.389169283,Yes,2014,K2O,SRB,50702.1509514165,none,0
NGA,22359247.217234705,Yes,2014,K2O,NGA,42216.28,none,0
ETH,22181941.102866244,Yes,2014,K2O,ETH,1407.54,none,0
LVA,20371689.546484135,Yes,2014,K2O,LVA,22268.532,none,0
SDN,19222229.623063345,Yes,2014,K2O,SDN,6110.02,none,0
TZA,19013640.007680494,Yes,2014,K2O,TZA,9113.72,none,0
AUT,18718651.40663913,Yes,2014,K2O,AUT,27935.622,none,0
NIC,17610256.38688291,Yes,2014,K2O,NIC,12881,none,0
PRK,17014139.914172295,No,2014,K2O,12881,12881,nearest use,1
VEN,15907817.17073627,Yes,2014,K2O,VEN,135522.22,none,0
TWN,15451483.585332446,Yes,2014,K2O,TWN,117745.2,none,0
AZE,14907447.192262892,Yes,2014,K2O,AZE,5708,none,0
CHE,14525092.945975028,Yes,2014,K2O,CHE,19961.83,none,0
FIN,14055662.784255108,Yes,2014,K2O,FIN,27776.034,none,0
NZL,13942387.220853884,Yes,2014,K2O,NZL,21887.581999999995,none,0
KGZ,13692151.529250788,Yes,2014,K2O,KGZ,265,none,0
CMR,13637400.23891997,Yes,2014,K2O,CMR,21819.95,none,0
KHM,13595715.82186319,Yes,2014,K2O,KHM,4128.07,none,0
CIV,12955457.408819854,Yes,2014,K2O,CIV,43397.3,none,0
HND,12780212.949240863,Yes,2014,K2O,HND,43243.26,none,0
SAU,12683449.049103377,Yes,2014,K2O,SAU,20000,none,0
MLI,12463161.338653237,Yes,2014,K2O,MLI,16720.86,none,0
LTU,12354101.599334715,Yes,2014,K2O,LTU,47159.97,none,0
TUN,12035264.377723213,Yes,2014,K2O,TUN,15800,none,0
MDG,11867310.836907458,Yes,2014,K2O,MDG,3892.79,none,0
LAO,11740312.049463883,No,2014,K2O,3892.79,3892.79,nearest use,1
AGO,11316164.06115643,Yes,2014,K2O,AGO,9892.46,none,0
SVK,11271125.355770351,Yes,2014,K2O,SVK,14213.628,none,0
LKA,11254375.594190333,Yes,2014,K2O,LKA,49291.8,none,0
AFG,11103174.046912694,Yes,2014,K2O,AFG,6.67,none,0
KEN,10772148.531103551,Yes,2014,K2O,KEN,27782.56,none,0
NOR,10740117.096851815,Yes,2014,K2O,NOR,38798,none,0
TKM,10726360.416745638,No,2014,K2O,38798,38798,nearest use,1
SYR,10559246.660225878,Yes,2014,K2O,SYR,1301.11,none,0
ISR,10317064.779519146,Yes,2014,K2O,ISR,27100,none,0
DOM,10152260.896133812,Yes,2014,K2O,DOM,9064.82,none,0
TJK,9741323.549771942,Yes,2014,K2O,TJK,514.23,none,0
YEM,9554599.044593014,Yes,2014,K2O,YEM,1113.44,none,0
SWZ,9477485.681020593,No,2014,K2O,1113.44,1113.44,nearest use,1
IRL,9129797.634830145,Yes,2014,K2O,IRL,127860.54996,none,0
MWI,8903642.548293917,Yes,2014,K2O,MWI,13211.35,none,0
SLV,8782144.894177927,Yes,2014,K2O,SLV,6259.65,none,0
BOL,8670978.747869343,Yes,2014,K2O,BOL,3682.94,none,0
MDA,8538527.205399537,Yes,2014,K2O,MDA,114,none,0
BGR,7926581.878972925,Yes,2014,K2O,BGR,24392.082000000002,none,0
URY,7816526.595472928,Yes,2014,K2O,URY,89253.91,none,0
EST,7745325.367166781,Yes,2014,K2O,EST,9747.738,none,0
IRQ,7661246.997111124,Yes,2014,K2O,IRQ,4302.14,none,0
HRV,7451541.9081978705,Yes,2014,K2O,HRV,37638.744,none,0
ZMB,7340673.0285031125,Yes,2014,K2O,ZMB,14580.79,none,0
ZWE,7083056.152574739,Yes,2014,K2O,ZWE,21600,none,0
CRI,6996794.074496098,Yes,2014,K2O,CRI,35775.29,none,0
COD,6643288.819602948,Yes,2014,K2O,COD,3294.35,none,0
BEN,6277503.905782782,Yes,2014,K2O,BEN,3420.29,none,0
UGA,6191792.702472046,Yes,2014,K2O,UGA,2562.01,none,0
ALB,6057152.999387405,Yes,2014,K2O,ALB,792,none,0
MOZ,5544543.034773104,Yes,2014,K2O,MOZ,3263.26,none,0
NER,5324185.605239309,Yes,2014,K2O,NER,2432.68,none,0
PNG,5249871.930766702,Yes,2014,K2O,PNG,15100.26,none,0
ARM,5225264.465244473,Yes,2014,K2O,ARM,1700.3,none,0
GUY,4954922.981898397,Yes,2014,K2O,GUY,2312.88,none,0
SEN,4899747.942125075,Yes,2014,K2O,SEN,6000,none,0
HTI,4721179.39972458,No,2014,K2O,6000,6000,nearest use,1
BIH,4210665.446934637,Yes,2014,K2O,BIH,8017.09,none,0
BFA,3923855.232149631,Yes,2014,K2O,BFA,25105.61,none,0
JOR,3895682.771797947,Yes,2014,K2O,JOR,2675,none,0
LBN,3502117.49785091,Yes,2014,K2O,LBN,7648.84,none,0
MUS,3487113.817627549,Yes,2014,K2O,MUS,8715.02,none,0
ARE,3460651.270073656,Yes,2014,K2O,ARE,11655.98,none,0
LBY,3425715.4297097246,Yes,2014,K2O,LBY,1060.95,none,0
PAN,3267217.61708053,Yes,2014,K2O,PAN,8297.28,none,0
BDI,2748742.92866233,Yes,2014,K2O,BDI,2852.69,none,0
SVN,2525702.7958724904,Yes,2014,K2O,SVN,9149.712,none,0
RWA,2396067.7596552595,Yes,2014,K2O,RWA,2930.28,none,0
OMN,2233642.493901007,Yes,2014,K2O,OMN,7780.12,none,0
GIN,2037378.3660401627,Yes,2014,K2O,GIN,241.62,none,0
JAM,1927771.3420681953,Yes,2014,K2O,JAM,6076.47,none,0
GEO,1714112.967168633,Yes,2014,K2O,GEO,1836.83,none,0
MKD,1678187.252377656,Yes,2014,K2O,MKD,3853.96,none,0
TCD,1631199.0443771405,No,2014,K2O,3853.96,3853.96,nearest use,1
XKO,1505488.8990551075,Yes,2014,K2O,XKO,2587.60904858346,none,0
LUX,1461422.4844591722,Yes,2014,K2O,LUX,1012.44,none,0
MNE,1338660.950568848,Yes,2014,K2O,MNE,541.23,none,0
TGO,1158866.0873362347,Yes,2014,K2O,TGO,0,none,0
SOM,1038368.1028475016,No,2014,K2O,2486,2486,nearest use,1
CYP,1030471.4808870537,Yes,2014,K2O,CYP,2132.9880000000003,none,0
SLE,1028081.6690776274,No,2014,K2O,2486,2486,nearest use,1
FJI,1011223.8870821148,Yes,2014,K2O,FJI,897.1,none,0
SUR,878341.9295825958,Yes,2014,K2O,SUR,1426.56,none,0
COG,817013.5914447829,Yes,2014,K2O,COG,667.44,none,0
MNG,708403.239158292,Yes,2014,K2O,MNG,2.05,none,0
GNB,582822.1520262472,No,2014,K2O,1271.66,1271.66,nearest use,1
GAB,472134.8084433824,Yes,2014,K2O,GAB,1271.66,none,0
MRT,465262.4154650011,No,2014,K2O,1271.66,1271.66,nearest use,1
LBR,403184.49088207074,No,2014,K2O,2400,2400,nearest use,1
QAT,368794.1200319603,Yes,2014,K2O,QAT,2400,none,0
TLS,345131.65923787653,No,2014,K2O,3299.73,3299.73,nearest use,1
KWT,329516.8733068891,Yes,2014,K2O,KWT,3299.73,none,0
CAF,311807.46240679733,Yes,2014,K2O,CAF,10.79,none,0
BTN,211961.66956338336,Yes,2014,K2O,BTN,225.44,none,0
GMB,164120.41320878267,Yes,2014,K2O,GMB,103.04,none,0
ERI,157223.43264709655,Yes,2014,K2O,ERI,11.2,none,0
XMI,147685.73278356518,Yes,2014,K2O,XMI,0,none,0
SSD,121669.49473145345,No,2014,K2O,0,0,nearest use,1
CXR,112599.20039215684,No,2014,K2O,4322.49,4322.49,nearest use,1
ALA,90919.16266685673,No,2014,K2O,4322.49,3708.6964199999998,nearest use,1
LSO,88594.53884182841,No,2014,K2O,4322.49,4322.49,nearest use,1
BLZ,83628.44249719381,Yes,2014,K2O,BLZ,4322.49,none,0
BHR,81095.11913231015,Yes,2014,K2O,BHR,145.5,none,0
MLT,69660.46047009453,Yes,2014,K2O,MLT,64.3929,none,0
"NAM",66674.56633578241,Yes,2014,K2O,"NAM",431.46,none,0
BRN,38542.701472287066,Yes,2014,K2O,BRN,234,none,0
TTO,36921.29870283604,Yes,2014,K2O,TTO,2000,none,0
GNQ,35972.30806827545,No,2014,K2O,2000,2000,nearest use,1
PRI,28662.257500866424,No,2014,K2O,974,974,nearest use,1
GUF,26967.58330526948,No,2014,K2O,974,974,nearest use,1
BWA,24817.926067456105,Yes,2014,K2O,BWA,974,none,0
GLP,23751.10955373943,No,2014,K2O,974,974,nearest use,1
DJI,22681.95148062706,No,2014,K2O,974,974,nearest use,1
GRD,21957.41449737549,No,2014,K2O,974,974,nearest use,1
SGP,20506.614683747295,No,2014,K2O,389.36,389.36,nearest use,1
SLB,17624.222730457783,No,2014,K2O,389.36,389.36,nearest use,1
MTQ,17572.376029849052,No,2014,K2O,389.36,389.36,nearest use,1
VUT,16904.80774780363,No,2014,K2O,389.36,389.36,nearest use,1
BHS,16526.3634185791,Yes,2014,K2O,BHS,389.36,none,0
ISL,8912.380160093307,Yes,2014,K2O,ISL,4771,none,0
NCL,7881.618533998728,Yes,2014,K2O,NCL,557,none,0
JEY,6522.582320484483,No,2014,K2O,23.04,23.04,nearest use,1
BRB,5771.393712043762,Yes,2014,K2O,BRB,23.04,none,0
GGY,5565.868829096662,Yes,2014,K2O,GGY,0,none,0
DMA,5268.732059001923,Yes,2014,K2O,DMA,203.36,none,0
LCA,3284.654992580414,Yes,2014,K2O,LCA,155.67,none,0
STP,2771.982379555702,No,2014,K2O,37.56,37.56,nearest use,1
TON,2357.369364261627,Yes,2014,K2O,TON,37.56,none,0
GUM,2163.8583984375,No,2014,K2O,37.56,37.56,nearest use,1
BMU,1939.9529418945312,Yes,2014,K2O,BMU,25.66,none,0
PYF,1880.0881591588259,Yes,2014,K2O,PYF,165.87,none,0
VCT,1753.1834526062012,No,2014,K2O,165.87,165.87,nearest use,1
ATG,1300.8822555541992,Yes,2014,K2O,ATG,2.69,none,0
MSR,597.2594909667969,No,2014,K2O,34.28,34.28,nearest use,1
FSM,377.7010202407837,No,2014,K2O,34.28,34.28,nearest use,1
NIU,365.32257080078125,No,2014,K2O,34.28,34.28,nearest use,1
KIR,362.8517019748688,No,2014,K2O,34.28,34.28,nearest use,1
PSE,259.6483723522413,No,2014,K2O,34.28,34.28,nearest use,1
KNA,254.51612854003903,Yes,2014,K2O,KNA,34.28,none,0
VGB,169.47203826904297,No,2014,K2O,34.28,34.28,nearest use,1
AND,124.50000250339507,No,2014,K2O,10.66,10.66,nearest use,1
ESH,124.03519773483276,No,2014,K2O,10.66,10.66,nearest use,1
WLF,74.63145104050636,No,2014,K2O,10.66,10.66,nearest use,1
SYC,51.590001583099365,Yes,2014,K2O,SYC,10.66,none,0
CYM,18.799999237060547,No,2014,K2O,0.74,0.74,nearest use,1
HKG,7.1721498655297875,No,2014,K2O,0.74,0.7178,nearest use,1
ABW,0,No,2014,K2O,0.74,0.74,nearest use,1
AIA,0,No,2014,K2O,0.74,0.74,nearest use,1
ASM,0,No,2014,K2O,0.74,0.74,nearest use,1
BES,0,No,2014,K2O,0.74,0.74,nearest use,1
BLM,0,No,2014,K2O,0.74,0.74,nearest use,1
CCK,0,No,2014,K2O,0.74,0.74,nearest use,1
COK,0,Yes,2014,K2O,COK,0.74,none,0
COM,0,No,2014,K2O,0.74,0.74,nearest use,1
CPV,0,No,2014,K2O,0.74,0.74,nearest use,1
CUW,0,No,2014,K2O,0.74,0.74,nearest use,1
FLK,0,No,2014,K2O,0.74,0.74,nearest use,1
FRO,0,No,2014,K2O,0.74,0.63492,nearest use,1
GIB,0,No,2014,K2O,0.74,0.63492,nearest use,1
GRL,0,No,2014,K2O,0.74,0.74,nearest use,1
IMN,0,No,2014,K2O,0.74,0.74,nearest use,1
IOT,0,No,2014,K2O,0.74,0.74,nearest use,1
LIE,0,No,2014,K2O,0.74,0.74,nearest use,1
MAC,0,No,2014,K2O,0.74,0.7178,nearest use,1
MAF,0,No,2014,K2O,0.74,0.74,nearest use,1
MCO,0,No,2014,K2O,0.74,0.74,nearest use,1
MDV,0,Yes,2014,K2O,MDV,4.11,none,0
MHL,0,No,2014,K2O,0.74,0.74,nearest use,1
MNP,0,No,2014,K2O,0.74,0.74,nearest use,1
MYT,0,No,2014,K2O,0.74,0.74,nearest use,1
NFK,0,No,2014,K2O,0.74,0.74,nearest use,1
NRU,0,Yes,2014,K2O,NRU,0,none,0
PCN,0,No,2014,K2O,0.74,0.74,nearest use,1
PLW,0,No,2014,K2O,0.74,0.74,nearest use,1
REU,0,No,2014,K2O,0.74,0.74,nearest use,1
SHN,0,No,2014,K2O,0.74,0.74,nearest use,1
SJM,0,No,2014,K2O,0.74,0.63492,nearest use,1
SMR,0,No,2014,K2O,0.74,0.74,nearest use,1
SPM,0,No,2014,K2O,0.74,0.74,nearest use,1
SXM,0,No,2014,K2O,0.74,0.74,nearest use,1
TCA,0,No,2014,K2O,0.74,0.74,nearest use,1
TKL,0,No,2014,K2O,0.74,0.74,nearest use,1
TUV,0,No,2014,K2O,0.74,0.74,nearest use,1
VIR,0,No,2014,K2O,0.74,0.74,nearest use,1
WSM,0,Yes,2014,K2O,WSM,0.2,none,0
CHN,2267414909.013471,Yes,2015,K2O,CHN,11376148.8935,none,0
USA,1685696968.1634908,Yes,2015,K2O,USA,4135808.716,none,0
IND,1298334009.3600392,Yes,2015,K2O,IND,2401500,none,0
RUS,393538249.3994526,Yes,2015,K2O,RUS,287400.96,none,0
DEU,370973013.91670436,Yes,2015,K2O,DEU,341277.222,none,0
IDN,342701278.9558128,Yes,2015,K2O,IDN,1837166.2,none,0
FRA,331406239.8252842,Yes,2015,K2O,FRA,402329.07,none,0
PAK,305394562.04671705,Yes,2015,K2O,PAK,25291,none,0
AUS,294279917.9619316,Yes,2015,K2O,AUS,161689.15586,none,0
EGY,276096501.37281895,Yes,2015,K2O,EGY,79900,none,0
BRA,265053819.25387812,Yes,2015,K2O,BRA,4964662.32708,none,0
THA,250650979.07415372,Yes,2015,K2O,THA,569265.34,none,0
MEX,244714768.83693212,Yes,2015,K2O,MEX,220208.66,none,0
CAN,213816256.9340958,Yes,2015,K2O,CAN,410000,none,0
ARG,200824807.52287441,Yes,2015,K2O,ARG,41006,none,0
VNM,175531253.24923196,Yes,2015,K2O,VNM,575621.43,none,0
UKR,169486497.68667194,Yes,2015,K2O,UKR,202703.2,none,0
IRN,129910329.12320079,Yes,2015,K2O,IRN,34112.3755,none,0
ITA,127819881.1273082,Yes,2015,K2O,ITA,95092.998,none,0
ESP,124586547.10772365,Yes,2015,K2O,ESP,326299.974,none,0
PHL,122448932.7718554,Yes,2015,K2O,PHL,121242.95,none,0
BGD,117668736.34127656,Yes,2015,K2O,BGD,384000,none,0
MYS,113914676.43505079,Yes,2015,K2O,MYS,868701.99,none,0
GBR,109019734.02652495,Yes,2015,K2O,GBR,233376,none,0
POL,107416258.81941463,Yes,2015,K2O,POL,451737,none,0
JPN,100319549.95629139,Yes,2015,K2O,JPN,230310.4,none,0
COL,79846359.37517765,Yes,2015,K2O,COL,341370.73,none,0
TUR,76049183.09535167,Yes,2015,K2O,TUR,131599,none,0
NLD,70788056.33485001,Yes,2015,K2O,NLD,23610.16086,none,0
ROU,67355533.9592786,Yes,2015,K2O,ROU,36630.594,none,0
UZB,66272017.93972518,Yes,2015,K2O,UZB,73949.86,none,0
GTM,56733102.49160689,Yes,2015,K2O,GTM,59131.72,none,0
ZAF,56112834.05497494,Yes,2015,K2O,ZAF,126984,none,0
PER,51883022.74158923,Yes,2015,K2O,PER,85078.9,none,0
MMR,47367605.74191096,Yes,2015,K2O,MMR,13895.46,none,0
BLR,47182114.28745654,Yes,2015,K2O,BLR,484440.075,none,0
DNK,44849307.75908263,Yes,2015,K2O,DNK,54695.784,none,0
MAR,44230673.90954738,Yes,2015,K2O,MAR,110896.6,none,0
PRY,40807672.72664807,Yes,2015,K2O,PRY,148895.47,none,0
BEL,37881620.430979386,Yes,2015,K2O,BEL,50028.264,none,0
SWE,37143224.497521594,Yes,2015,K2O,SWE,26330.304,none,0
ECU,36358870.95008872,Yes,2015,K2O,ECU,87135.53,none,0
CHL,35358705.215926774,Yes,2015,K2O,CHL,85340,none,0
HUN,33193416.77833699,Yes,2015,K2O,HUN,63909.846000000005,none,0
KOR,33154489.12534804,Yes,2015,K2O,KOR,144568.8,none,0
DZA,32143603.141003493,Yes,2015,K2O,DZA,38000,none,0
GRC,31918293.246788524,Yes,2015,K2O,GRC,35884.992,none,0
KAZ,29929723.955679696,Yes,2015,K2O,KAZ,2507,none,0
CZE,29788124.38627481,Yes,2015,K2O,CZE,28418.676,none,0
PRT,28506095.278970405,Yes,2015,K2O,PRT,29725.950539999998,none,0
NPL,26876323.37709631,Yes,2015,K2O,NPL,4030,none,0
CUB,26294904.08919849,Yes,2015,K2O,CUB,43697.9,none,0
GHA,24756986.966226343,Yes,2015,K2O,GHA,32100,none,0
SRB,22487966.389169283,Yes,2015,K2O,SRB,31211.4294472066,none,0
NGA,22359247.217234705,Yes,2015,K2O,NGA,40226.25,none,0
ETH,22181941.102866244,Yes,2015,K2O,ETH,2046.43,none,0
LVA,20371689.546484135,Yes,2015,K2O,LVA,24589.422,none,0
SDN,19222229.623063345,Yes,2015,K2O,SDN,5513.59,none,0
TZA,19013640.007680494,Yes,2015,K2O,TZA,10660.78,none,0
AUT,18718651.40663913,Yes,2015,K2O,AUT,32857.48752,none,0
NIC,17610256.38688291,Yes,2015,K2O,NIC,13653.03,none,0
PRK,17014139.914172295,No,2015,K2O,13653.03,13653.03,nearest use,1
VEN,15907817.17073627,Yes,2015,K2O,VEN,135066.85,none,0
TWN,15451483.585332446,Yes,2015,K2O,TWN,116138.1,none,0
AZE,14907447.192262892,Yes,2015,K2O,AZE,4492,none,0
CHE,14525092.945975028,Yes,2015,K2O,CHE,18978.43,none,0
FIN,14055662.784255108,Yes,2015,K2O,FIN,26917.176,none,0
NZL,13942387.220853884,Yes,2015,K2O,NZL,21126.274799999985,none,0
KGZ,13692151.529250788,Yes,2015,K2O,KGZ,92.4,none,0
CMR,13637400.23891997,Yes,2015,K2O,CMR,28947.54,none,0
KHM,13595715.82186319,Yes,2015,K2O,KHM,4040.73,none,0
CIV,12955457.408819854,Yes,2015,K2O,CIV,59836.31,none,0
HND,12780212.949240863,Yes,2015,K2O,HND,25793.67,none,0
SAU,12683449.049103377,Yes,2015,K2O,SAU,22400,none,0
MLI,12463161.338653237,Yes,2015,K2O,MLI,26937.44,none,0
LTU,12354101.599334715,Yes,2015,K2O,LTU,49059.582,none,0
TUN,12035264.377723213,Yes,2015,K2O,TUN,14700,none,0
MDG,11867310.836907458,Yes,2015,K2O,MDG,3482.04,none,0
LAO,11740312.049463883,No,2015,K2O,3482.04,3482.04,nearest use,1
AGO,11316164.06115643,Yes,2015,K2O,AGO,8695.17,none,0
SVK,11271125.355770351,Yes,2015,K2O,SVK,13879.866,none,0
LKA,11254375.594190333,Yes,2015,K2O,LKA,106422.98,none,0
AFG,11103174.046912694,Yes,2015,K2O,AFG,9.9,none,0
KEN,10772148.531103551,Yes,2015,K2O,KEN,31726.65,none,0
NOR,10740117.096851815,Yes,2015,K2O,NOR,41026,none,0
TKM,10726360.416745638,No,2015,K2O,41026,41026,nearest use,1
SYR,10559246.660225878,Yes,2015,K2O,SYR,1112.94,none,0
ISR,10317064.779519146,Yes,2015,K2O,ISR,21600,none,0
DOM,10152260.896133812,Yes,2015,K2O,DOM,35956.04,none,0
TJK,9741323.549771942,Yes,2015,K2O,TJK,481.49,none,0
YEM,9554599.044593014,Yes,2015,K2O,YEM,559.44,none,0
SWZ,9477485.681020593,No,2015,K2O,559.44,559.44,nearest use,1
IRL,9129797.634830145,Yes,2015,K2O,IRL,114474.42864,none,0
MWI,8903642.548293917,Yes,2015,K2O,MWI,17376.66,none,0
SLV,8782144.894177927,Yes,2015,K2O,SLV,8974.07,none,0
BOL,8670978.747869343,Yes,2015,K2O,BOL,4125.03,none,0
MDA,8538527.205399537,Yes,2015,K2O,MDA,5073.57,none,0
BGR,7926581.878972925,Yes,2015,K2O,BGR,28068.612,none,0
URY,7816526.595472928,Yes,2015,K2O,URY,36614.22,none,0
EST,7745325.367166781,Yes,2015,K2O,EST,9834.396,none,0
IRQ,7661246.997111124,Yes,2015,K2O,IRQ,2498.67,none,0
HRV,7451541.9081978705,Yes,2015,K2O,HRV,31232.058,none,0
ZMB,7340673.0285031125,Yes,2015,K2O,ZMB,7670.62,none,0
ZWE,7083056.152574739,Yes,2015,K2O,ZWE,13000,none,0
CRI,6996794.074496098,Yes,2015,K2O,CRI,50335.45,none,0
COD,6643288.819602948,Yes,2015,K2O,COD,1960.11,none,0
BEN,6277503.905782782,Yes,2015,K2O,BEN,168.34,none,0
UGA,6191792.702472046,Yes,2015,K2O,UGA,2958.71,none,0
ALB,6057152.999387405,Yes,2015,K2O,ALB,797.75,none,0
MOZ,5544543.034773104,Yes,2015,K2O,MOZ,6065.18,none,0
NER,5324185.605239309,Yes,2015,K2O,NER,31.93,none,0
PNG,5249871.930766702,Yes,2015,K2O,PNG,8697.54,none,0
ARM,5225264.465244473,Yes,2015,K2O,ARM,81.5,none,0
GUY,4954922.981898397,Yes,2015,K2O,GUY,679.93,none,0
SEN,4899747.942125075,Yes,2015,K2O,SEN,8550,none,0
HTI,4721179.39972458,No,2015,K2O,8550,8550,nearest use,1
BIH,4210665.446934637,Yes,2015,K2O,BIH,10159.85,none,0
BFA,3923855.232149631,Yes,2015,K2O,BFA,24112.62,none,0
JOR,3895682.771797947,Yes,2015,K2O,JOR,4117,none,0
LBN,3502117.49785091,Yes,2015,K2O,LBN,8696.55,none,0
MUS,3487113.817627549,Yes,2015,K2O,MUS,4092.22,none,0
ARE,3460651.270073656,Yes,2015,K2O,ARE,12230.96,none,0
LBY,3425715.4297097246,Yes,2015,K2O,LBY,957.48,none,0
PAN,3267217.61708053,Yes,2015,K2O,PAN,13666.37,none,0
BDI,2748742.92866233,Yes,2015,K2O,BDI,1503.33,none,0
SVN,2525702.7958724904,Yes,2015,K2O,SVN,9887.592,none,0
RWA,2396067.7596552595,Yes,2015,K2O,RWA,4571.3,none,0
OMN,2233642.493901007,Yes,2015,K2O,OMN,9027.48,none,0
GIN,2037378.3660401627,Yes,2015,K2O,GIN,208.88,none,0
JAM,1927771.3420681953,Yes,2015,K2O,JAM,957.92,none,0
GEO,1714112.967168633,Yes,2015,K2O,GEO,2148.16,none,0
MKD,1678187.252377656,Yes,2015,K2O,MKD,3343.75,none,0
TCD,1631199.0443771405,No,2015,K2O,3343.75,3343.75,nearest use,1
XKO,1505488.8990551075,Yes,2015,K2O,XKO,1592.8905527934,none,0
LUX,1461422.4844591722,Yes,2015,K2O,LUX,901.758,none,0
MNE,1338660.950568848,Yes,2015,K2O,MNE,487.67,none,0
TGO,1158866.0873362347,Yes,2015,K2O,TGO,6675.43,none,0
SOM,1038368.1028475016,No,2015,K2O,2743,2743,nearest use,1
CYP,1030471.4808870537,Yes,2015,K2O,CYP,2353.494,none,0
SLE,1028081.6690776274,No,2015,K2O,2743,2743,nearest use,1
FJI,1011223.8870821148,Yes,2015,K2O,FJI,2331.55,none,0
SUR,878341.9295825958,Yes,2015,K2O,SUR,1164.53,none,0
COG,817013.5914447829,Yes,2015,K2O,COG,628.69,none,0
MNG,708403.239158292,Yes,2015,K2O,MNG,731.72,none,0
GNB,582822.1520262472,No,2015,K2O,2344.58,2344.58,nearest use,1
GAB,472134.8084433824,Yes,2015,K2O,GAB,2344.58,none,0
MRT,465262.4154650011,No,2015,K2O,2344.58,2344.58,nearest use,1
LBR,403184.49088207074,No,2015,K2O,800,800,nearest use,1
QAT,368794.1200319603,Yes,2015,K2O,QAT,800,none,0
TLS,345131.65923787653,No,2015,K2O,5119.6,5119.6,nearest use,1
KWT,329516.8733068891,Yes,2015,K2O,KWT,5119.6,none,0
CAF,311807.46240679733,Yes,2015,K2O,CAF,364.48,none,0
BTN,211961.66956338336,Yes,2015,K2O,BTN,235.89,none,0
GMB,164120.41320878267,Yes,2015,K2O,GMB,46.26,none,0
ERI,157223.43264709655,Yes,2015,K2O,ERI,0.73,none,0
XMI,147685.73278356518,Yes,2015,K2O,XMI,0,none,0
SSD,121669.49473145345,No,2015,K2O,0,0,nearest use,1
CXR,112599.20039215684,No,2015,K2O,4758.41,4758.41,nearest use,1
ALA,90919.16266685673,No,2015,K2O,4758.41,4082.71578,nearest use,1
LSO,88594.53884182841,No,2015,K2O,4758.41,4758.41,nearest use,1
BLZ,83628.44249719381,Yes,2015,K2O,BLZ,4758.41,none,0
BHR,81095.11913231015,Yes,2015,K2O,BHR,145.5,none,0
MLT,69660.46047009453,Yes,2015,K2O,MLT,105.25944000000001,none,0
"NAM",66674.56633578241,Yes,2015,K2O,"NAM",648.92,none,0
BRN,38542.701472287066,Yes,2015,K2O,BRN,234,none,0
TTO,36921.29870283604,Yes,2015,K2O,TTO,1900,none,0
GNQ,35972.30806827545,No,2015,K2O,1900,1900,nearest use,1
PRI,28662.257500866424,No,2015,K2O,1958.51,1958.51,nearest use,1
GUF,26967.58330526948,No,2015,K2O,1958.51,1958.51,nearest use,1
BWA,24817.926067456105,Yes,2015,K2O,BWA,1958.51,none,0
GLP,23751.10955373943,No,2015,K2O,1958.51,1958.51,nearest use,1
DJI,22681.95148062706,No,2015,K2O,1958.51,1958.51,nearest use,1
GRD,21957.41449737549,No,2015,K2O,1958.51,1958.51,nearest use,1
SGP,20506.614683747295,No,2015,K2O,452.54,452.54,nearest use,1
SLB,17624.222730457783,No,2015,K2O,452.54,452.54,nearest use,1
MTQ,17572.376029849052,No,2015,K2O,452.54,452.54,nearest use,1
VUT,16904.80774780363,No,2015,K2O,452.54,452.54,nearest use,1
BHS,16526.3634185791,Yes,2015,K2O,BHS,452.54,none,0
ISL,8912.380160093307,Yes,2015,K2O,ISL,2790,none,0
NCL,7881.618533998728,Yes,2015,K2O,NCL,582,none,0
JEY,6522.582320484483,No,2015,K2O,457.83,457.83,nearest use,1
BRB,5771.393712043762,Yes,2015,K2O,BRB,457.83,none,0
GGY,5565.868829096662,Yes,2015,K2O,GGY,0,none,0
DMA,5268.732059001923,Yes,2015,K2O,DMA,275.72,none,0
LCA,3284.654992580414,Yes,2015,K2O,LCA,136.73,none,0
STP,2771.982379555702,No,2015,K2O,51.48,51.48,nearest use,1
TON,2357.369364261627,Yes,2015,K2O,TON,51.48,none,0
GUM,2163.8583984375,No,2015,K2O,51.48,51.48,nearest use,1
BMU,1939.9529418945312,Yes,2015,K2O,BMU,22.15,none,0
PYF,1880.0881591588259,Yes,2015,K2O,PYF,218.56,none,0
VCT,1753.1834526062012,No,2015,K2O,218.56,218.56,nearest use,1
