rgn_id,trend_lm,year,ico_trend
95,0.004155636363636172,2005,0.02078
96,-6.458181818181587e-4,2005,-0.00323
97,-8.07272727272723e-4,2005,-0.00404
98,-8.814545454544938e-4,2005,-0.00441
99,-7.461818181817981e-4,2005,-0.00373
100,-0.0013221818181817406,2005,-0.00661
101,0.0010778181818181462,2005,0.00539
102,8.087272727272138e-4,2005,0.00404
103,-0.0013221818181817651,2005,-0.00661
104,-0.0012130909090908577,2005,-0.00607
105,3.676800141636971e-17,2005,0
106,-0.0011185454545453919,2005,-0.00559
108,6.923636363635941e-4,2005,0.00346
110,-9.090909090908451e-4,2005,-0.00455
111,-9.687272727272227e-4,2005,-0.00484
112,-7.650909090908736e-4,2005,-0.00383
113,-2.4512000944246474e-17,2005,-0
114,-0.001118545454545399,2005,-0.00559
115,-8.567272727272282e-4,2005,-0.00428
116,-7.650909090908251e-4,2005,-0.00383
117,-8.552727272726651e-4,2005,-0.00428
118,-9.090909090908693e-4,2005,-0.00455
119,-9.701818181817452e-4,2005,-0.00485
120,-9.090909090908693e-4,2005,-0.00455
121,-0.001211636363636309,2005,-0.00606
122,-0.0011199999999999388,2005,-0.0056
123,-0.0010385454545453667,2005,-0.00519
124,-9.701818181817452e-4,2005,-0.00485
125,-9.701818181818017e-4,2005,-0.00485
126,-9.090909090908451e-4,2005,-0.00455
127,-0.0010399999999999628,2005,-0.0052
129,-4.625454545454486e-4,2005,-0.00231
130,-4.6254545454541685e-4,2005,-0.00231
131,-5.090909090909001e-4,2005,-0.00255
132,-6.050909090908968e-4,2005,-0.00303
133,-6.065454545454125e-4,2005,-0.00303
134,-9.687272727272069e-4,2005,-0.00484
135,-7.810909090908577e-4,2005,-0.00391
136,-5.381818181818155e-4,2005,-0.00269
137,-7.665454545454002e-4,2005,-0.00383
138,-7.665454545453964e-4,2005,-0.00383
139,-0.0010385454545453667,2005,-0.00519
140,-8.552727272726407e-4,2005,-0.00428
141,0.003233454545454365,2005,0.01617
143,0.001118545454545408,2005,0.00559
144,-0.001818181818181714,2005,-0.00909
145,0.001454545454545344,2005,0.00727
146,-0.0017629090909089431,2005,-0.00881
147,-0.0026666666666665013,2005,-0.01333
149,-0.0032319999999997524,2005,-0.01616
150,-0.0032319999999997524,2005,-0.01616
151,-0.0029633939393937524,2005,-0.01482
152,-0.0019966060606059913,2005,-0.00998
153,-0.0012121212121210811,2005,-0.00606
154,-0.0012926060606059597,2005,-0.00646
155,-0.0033333333333331293,2005,-0.01667
156,-0.0012926060606059597,2005,-0.00646
158,-0.0032319999999997524,2005,-0.01616
159,-0.0032319999999997524,2005,-0.01616
161,-0.002983757575757343,2005,-0.01492
162,-0.0027403636363634853,2005,-0.0137
163,1.8181818181820325e-4,2005,9.1e-4
164,-9.090909090908693e-4,2005,-0.00455
166,-8.567272727272282e-4,2005,-0.00428
167,-0.0024247272727271505,2005,-0.01212
168,-0.0011185454545453919,2005,-0.00559
169,-0.0010385454545453667,2005,-0.00519
171,8.421818181817792e-4,2005,0.00421
172,9.701818181817906e-4,2005,0.00485
