iucn_sid,habs,max_depth
162618,"11_1_1, 11_1_2",200 m +
162619,9_10,< 200 m
162620,11_1,200 m +
162621,11_1,200 m +
162624,"9_2, 9_3, 9_4, 9_5, 9_6",< 200 m
162627,"9_1, 9_2, 9_3, 9_4, 9_5, 9_6, 9_7, 9_8, 9_9",< 200 m
162628,11_1,200 m +
162630,"9_4, 9_5, 9_6",< 200 m
162632,"9_2, 9_3, 9_4, 9_5, 9_6, 9_7, 11_1_1, 11_1_2",200 m +
162637,10_2,200 m +
162638,11_1,200 m +
162640,11_1,200 m +
162642,9_2,< 200 m
162643,"9_5, 9_6",< 200 m
162644,"10_2, 11_1",200 m +
162647,11_1,200 m +
162652,11_1,200 m +
162655,11_1,200 m +
162657,9_9,< 200 m
162658,11_1,200 m +
162659,"9_4, 9_5, 9_6",< 200 m
162660,9_9,< 200 m
162662,"9_2, 9_3, 9_4, 9_5, 9_6, 9_7, 9_9",< 200 m
162663,"9_5, 9_6, 11_1_2",200 m +
162664,"9_3, 9_4, 9_5, 9_6",< 200 m
162666,"9_4, 9_5",< 200 m
162667,"9_9, 11_1_1, 11_1_2",200 m +
162669,"9_4, 9_5, 9_6",< 200 m
162672,"9_4, 9_5, 9_6",< 200 m
162674,"9_4, 9_5, 9_6",< 200 m
162678,11_1,200 m +
162679,"9_9, 11_1_1, 11_1_2",200 m +
162681,"9_4, 9_5, 9_6",< 200 m
162682,"9_5, 9_6, 11_1_2",200 m +
162683,"9_4, 9_5, 9_6, 11_1_2",200 m +
162686,9_9,< 200 m
162695,"9_2, 9_3, 9_4, 9_5, 9_6, 11_1_1, 11_1_2",200 m +
162696,"11_1_1, 11_1_2",200 m +
162697,"11_1_1, 11_1_2",200 m +
162698,"9_2, 9_3, 9_4, 9_5, 9_6, 11_1_1, 11_1_2",200 m +
162699,11_1_2,200 m +
162700,"9_2, 9_3, 9_4, 9_5, 9_6, 11_1_1, 11_1_2",200 m +
162701,11_1_2,200 m +
162702,"11_1_1, 11_1_2",200 m +
162703,"11_1_1, 11_1_2",200 m +
162704,"11_1_1, 11_1_2",200 m +
162705,"9_2, 9_3, 9_4, 9_5, 9_6, 11_1_1, 11_1_2",200 m +
162706,"11_1_1, 11_1_2",200 m +
162707,"11_1_1, 11_1_2",200 m +
162708,"11_1_1, 11_1_2",200 m +
162709,"11_1_1, 11_1_2",200 m +
162710,"11_1_1, 11_1_2",200 m +
162712,"11_1_1, 11_1_2",200 m +
162713,"9_2, 9_3, 9_4, 9_5, 9_6, 11_1_1, 11_1_2",200 m +
162714,"11_1_1, 11_1_2",200 m +
162715,11_1,200 m +
162716,"9_2, 9_3, 9_4, 9_5, 9_6, 11_1_1, 11_1_2",200 m +
162717,"11_1_1, 11_1_2",200 m +
162718,"9_2, 9_3, 9_4, 9_5, 9_6, 11_1_1, 11_1_2",200 m +
162719,"9_2, 9_3, 9_4, 9_5, 9_6, 9_7",< 200 m
162720,"9_2, 9_3, 9_4, 9_5, 9_6, 9_7, 11_1_1, 11_1_2",200 m +
162721,"9_2, 9_3, 9_4, 9_5, 9_6, 11_1_1, 11_1_2",200 m +
162894,"10_2, 10_3",deep oceanic
162899,"10_1, 10_2, 10_3",deep oceanic
162900,"10_1, 10_2",200 m +
162901,"9_1, 9_2, 9_3, 9_4, 9_5, 9_6, 9_7, 9_8_1, 9_8_2, 9_8_3, 9_8_4, 9_8_5, 9_8_6, 9_9",< 200 m
162902,"10_1, 10_2",200 m +
162904,"10_1, 10_2",200 m +
162905,"10_1, 10_2",200 m +
162906,"10_1, 10_2, 10_3",deep oceanic
162908,"10_1, 10_2, 11_1, 11_5",200 m +
162909,"10_1, 10_2, 10_3",deep oceanic
162910,10_2,200 m +
162912,"9_8, 12_2, 12_4",< 200 m
162913,"9_2, 9_8",< 200 m
162914,"11_1_1, 11_1_2",200 m +
162916,"10_1, 10_2, 10_3",deep oceanic
162917,"11_1_1, 11_1_2, 11_1",200 m +
162918,"11_1_1, 11_1_2, 11_1",200 m +
162919,"10_1, 10_2",200 m +
162920,"9_5, 9_6",< 200 m
162922,"10_1, 10_2",200 m +
162923,"9_2, 9_3, 9_4, 9_5, 9_6, 9_7",< 200 m
162924,"9_4, 9_5, 9_6",< 200 m
162925,"10_1, 10_2, 10_3",deep oceanic
162926,"10_1, 10_2",200 m +
162928,"10_1, 10_2, 10_3",deep oceanic
162929,11_1,200 m +
162930,"10_1, 10_2",200 m +
162931,"10_1, 10_2",200 m +
162933,"10_1, 10_2",200 m +
162934,"10_1, 10_2, 10_3, 11_5",deep oceanic
162935,9_9,< 200 m
162937,"9_2, 9_3, 9_4, 9_5, 9_6, 11_1_1, 11_1_2",200 m +
162938,"10_1, 10_2",200 m +
162939,"10_3, 11_1_1, 11_1_2, 11_1",deep oceanic
162940,"9_1, 9_2, 9_3, 9_4, 9_5, 9_6, 9_7, 9_8_1, 9_8_2, 9_8_3, 9_8_4, 9_8_5, 9_8_6, 9_9",< 200 m
162941,10_2,200 m +
162942,"10_1, 10_2, 10_3",deep oceanic
162943,"10_1, 10_2",200 m +
162944,"10_1, 10_2, 11_1",200 m +
162945,"10_1, 10_2, 11_1, 11_5",200 m +
162946,"11_1_1, 11_1_2, 11_1",200 m +
162948,"10_1, 10_2, 10_3",deep oceanic
162950,"10_1, 10_2, 10_3",deep oceanic
162951,"10_1, 10_2",200 m +
162952,"10_1, 10_2, 10_3",deep oceanic
162953,"10_1, 10_2, 10_3",deep oceanic
162954,"9_2, 9_3, 9_8, 9_9",< 200 m
162955,"9_4, 9_5, 9_6, 11_1_1, 11_1_2, 11_1",200 m +
162956,"10_1, 10_2",200 m +
162957,"11_1_1, 11_1_2, 11_1",200 m +
162958,"9_2, 9_3, 9_4, 9_5, 9_6, 11_1_1, 11_1_2, 12_1",200 m +
162959,"10_1, 10_2",200 m +
162961,"10_2, 10_3",deep oceanic
162962,"10_1, 10_2, 10_3",deep oceanic
162963,11_1,200 m +
162964,"10_1, 10_2",200 m +
162966,11_1,200 m +
162967,"11_1_1, 11_1_2, 11_1",200 m +
162968,"10_1, 10_2",200 m +
162969,9_1,< 200 m
162970,9_8,< 200 m
162971,"9_4, 9_5, 9_6",< 200 m
162972,"10_1, 10_2, 10_3",deep oceanic
162973,"9_1, 9_2, 9_3, 9_4, 9_5, 9_6, 9_7",< 200 m
162974,"9_2, 12_1",< 200 m
162975,"9_2, 12_1, 12_6",< 200 m
162977,"11_1_1, 11_1_2, 11_1",200 m +
162978,"9_4, 9_5, 9_6",< 200 m
162979,"10_1, 10_2",200 m +
162980,"10_2, 11_1",200 m +
162981,9_1,< 200 m
162982,"10_1, 10_2",200 m +
162984,"10_1, 10_2",200 m +
162985,11_1_2,200 m +
162986,"10_1, 10_2, 10_3",deep oceanic
162988,"10_1, 10_2, 10_3",deep oceanic
162990,"9_2, 9_3, 9_4, 9_5, 9_6",< 200 m
162991,"9_4, 9_5, 9_6",< 200 m
162992,"9_2, 9_3, 11_1_1",200 m +
162994,"10_1, 10_2",200 m +
162996,"10_1, 10_2",200 m +
162997,"9_1, 9_2, 9_3, 9_4, 9_5, 9_6, 9_7, 9_9, 11_1_2",200 m +
162999,"10_1, 10_2",200 m +
163002,"9_1, 9_5, 9_6, 10_1, 10_2, 11_1",200 m +
163003,"9_2, 9_3, 9_4, 9_5, 9_6",< 200 m
163004,"9_2, 9_3, 9_4, 9_5, 9_6, 12_1, 12_2, 12_3",< 200 m
163006,"9_2, 9_9",< 200 m
163007,"10_2, 10_3",deep oceanic
163008,"10_1, 10_2, 11_1",200 m +
163010,"9_4, 9_5, 9_6, 12_6",< 200 m
163011,"10_3, 11_1_1, 11_1_2, 11_1",deep oceanic
163012,"11_1_1, 11_1_2, 11_1",200 m +
163013,"9_4, 9_5, 9_6",< 200 m
163014,11_1,200 m +
163017,"9_1, 9_2, 9_3, 9_4, 9_5, 9_6, 9_7, 10_1",200 m +
163019,"10_1, 10_2",200 m +
163020,"9_1, 9_2, 9_3, 9_4, 9_5, 9_6, 9_7, 9_8_3, 10_1, 10_2, 11_1_1, 11_1_2",200 m +
163022,"11_1_1, 11_1_2, 11_1",200 m +
163024,"10_1, 10_2",200 m +
163025,"10_1, 10_2",200 m +
163026,"10_1, 10_2",200 m +
163027,"9_2, 9_3, 9_4, 9_5, 9_6, 9_7, 9_9",< 200 m
163028,"10_1, 10_2",200 m +
163029,"9_1, 10_1",200 m +
163030,"9_1, 10_1, 10_2",200 m +
163032,9_8,< 200 m
163033,"10_1, 10_2",200 m +
163034,11_1,200 m +
163035,"10_1, 10_2",200 m +
163036,"9_8, 12_1",< 200 m
163037,"10_1, 10_2",200 m +
163038,"10_1, 10_2",200 m +
163041,"9_1, 9_2, 9_3, 9_4, 9_5, 9_6, 9_7",< 200 m
163042,"11_1_1, 11_1_2, 11_1",200 m +
163045,9_1,< 200 m
163047,"9_4, 9_5, 9_6, 11_1_1",200 m +
163048,11_1,200 m +
163049,"9_1, 9_2, 9_3, 9_4, 9_5, 9_6, 9_7, 9_8_1, 9_8_2, 9_8_3, 9_8_4, 9_8_5, 9_8_6, 9_9",< 200 m
163050,"10_2, 11_1",200 m +
163051,"10_1, 10_2",200 m +
163052,"10_1, 10_2",200 m +
163053,11_1,200 m +
163054,"11_1_1, 11_1_2, 11_1",200 m +
163055,9_8,< 200 m
163056,"10_1, 10_2",200 m +
163057,"9_2, 9_4, 9_5, 9_6",< 200 m
163058,"9_1, 9_2, 9_3, 9_4, 9_5, 9_6, 9_7",< 200 m
163059,11_1_1,200 m +
163060,11_1,200 m +
163061,11_1_2,200 m +
163063,"10_2, 10_3",deep oceanic
163064,"10_1, 10_2, 10_3",deep oceanic
163065,"11_1_1, 11_1_2, 11_1",200 m +
163066,"9_1, 10_1",200 m +
163067,"10_1, 10_2, 10_3",deep oceanic
163068,"10_1, 10_2",200 m +
163070,10_2,200 m +
163071,"10_1, 10_2, 10_3, 11_1, 11_5",deep oceanic
163072,"9_4, 9_5, 9_6",< 200 m
163073,"10_1, 10_2, 10_3, 11_1",deep oceanic
163074,"11_1_1, 11_1_2, 11_1",200 m +
163075,"9_1, 10_1",200 m +
163076,"9_5, 9_6",< 200 m
163077,"10_1, 10_2, 10_3",deep oceanic
163078,"9_3, 9_4, 9_5, 9_7",< 200 m
163079,"10_1, 10_2, 11_1",200 m +
163080,"9_1, 10_1",200 m +
163081,"9_1, 9_2, 9_3, 9_4, 9_5, 9_6, 9_7, 9_9, 9_10",< 200 m
163082,10_2,200 m +
163083,"9_1, 10_1",200 m +
163084,"9_4, 9_5, 9_6, 12_2, 12_4",< 200 m
163085,"10_1, 10_2, 11_1",200 m +
163086,"10_1, 10_2, 10_3",deep oceanic
163087,"9_4, 9_5, 9_6",< 200 m
163088,"10_1, 10_2, 10_3",deep oceanic
163089,"10_1, 10_2",200 m +
163090,"11_1_1, 11_1_2, 11_1",200 m +
163093,9_8,< 200 m
163094,"10_1, 10_2",200 m +
163095,"10_1, 10_2, 10_3",deep oceanic
163096,"9_1, 10_1, 10_2",200 m +
163097,"9_1, 9_2, 9_3, 9_4, 9_5, 9_6, 9_7",< 200 m
163098,"9_2, 9_3, 12_1",< 200 m
163101,"10_2, 11_1",200 m +
163102,"10_1, 10_2",200 m +
163103,"9_4, 9_5, 9_6",< 200 m
163106,11_2,200 m +
163107,"11_1_1, 11_1_2, 11_1",200 m +
163108,"10_2, 10_3",deep oceanic
163110,"10_1, 10_2",200 m +
163112,"10_2, 10_3",deep oceanic
163114,"10_1, 10_2",200 m +
163115,"9_1, 9_2, 9_3, 9_4, 9_5, 9_6, 9_7, 9_8_1, 9_8_2, 9_8_3, 9_8_4, 9_8_5, 9_8_6, 9_9",< 200 m
163117,"11_1_1, 11_1_2, 11_1",200 m +
163118,"10_1, 10_2, 10_3",deep oceanic
163119,"9_5, 9_6, 11_1_2",200 m +
163121,11_2,200 m +
163122,"9_1, 9_2, 9_3, 9_4, 9_5, 9_6, 9_7, 9_8_1, 9_8_2, 9_8_3, 9_8_4, 9_8_5, 9_8_6, 9_9",< 200 m
163125,"9_1, 10_1",200 m +
163127,11_6,200 m +
163128,11_1,200 m +
163129,"10_1, 10_2",200 m +
163131,"10_1, 10_2, 10_3",deep oceanic
163132,"10_1, 10_2",200 m +
163134,"10_1, 10_2",200 m +
163135,11_1,200 m +
163137,11_1,200 m +
163138,9_8,< 200 m
163139,"9_2, 9_3, 9_4, 9_5, 9_6, 9_7, 11_1_2",200 m +
163140,11_1,200 m +
163141,"11_1_1, 11_1_2, 11_1",200 m +
163142,"10_1, 10_2, 11_1",200 m +
163143,"10_1, 10_2",200 m +
163144,"11_1_2, 11_1, 11_5, 11_6",200 m +
163145,"9_2, 9_3",< 200 m
163146,"10_1, 10_2",200 m +
163147,"9_2, 9_3, 12_1",< 200 m
163148,"9_9, 9_10",< 200 m
163149,"11_1_1, 11_1_2, 11_1",200 m +
163150,11_1_2,200 m +
163152,"10_1, 10_2",200 m +
163155,"10_1, 10_2, 10_3, 11_1",deep oceanic
163156,"10_1, 10_2, 10_3",deep oceanic
163157,"10_1, 10_2",200 m +
163159,"11_1_2, 11_1",200 m +
163160,"10_1, 10_2",200 m +
163161,"10_1, 10_2",200 m +
163162,"10_1, 10_2",200 m +
163163,"10_1, 10_2, 10_3",deep oceanic
163164,11_1,200 m +
163165,"9_1, 9_2, 9_3, 9_4, 9_5, 9_6, 9_7, 10_1",200 m +
163166,11_1,200 m +
163170,"10_1, 10_2, 10_3",deep oceanic
163171,"9_2, 9_3, 9_4, 9_5, 9_6, 9_7, 9_8, 9_9, 9_10",< 200 m
163172,"11_1_1, 11_1_2, 11_1",200 m +
163174,"9_2, 9_4, 9_5, 9_6, 9_8, 9_9, 12_6",< 200 m
163175,"9_2, 9_8",< 200 m
163176,"9_4, 9_5, 9_6",< 200 m
163177,"10_1, 10_2, 10_3",deep oceanic
163178,"11_1_1, 11_1_2, 11_1",200 m +
163179,"10_1, 10_2",200 m +
163180,"10_1, 10_2, 10_3",deep oceanic
163181,"10_1, 10_2, 10_3",deep oceanic
163182,"9_1, 9_2, 9_3, 9_4, 9_6, 9_7, 9_9, 9_10",< 200 m
163183,"9_4, 9_5, 9_6",< 200 m
163184,"10_1, 10_2",200 m +
163185,"9_4, 9_5, 9_9",< 200 m
163186,"10_1, 10_2, 11_1",200 m +
163187,"10_1, 10_2",200 m +
163189,"10_1, 10_2, 11_1",200 m +
163190,"10_1, 10_2",200 m +
163192,"10_1, 10_2, 10_3",deep oceanic
163194,"10_1, 10_2",200 m +
163195,"9_4, 9_5, 9_6, 12_2, 12_3, 12_4, 12_6",< 200 m
163196,"9_1, 9_2, 9_3, 9_4, 9_5, 9_6, 9_7, 9_8_1, 9_8_2, 9_8_3, 9_8_4, 9_8_5, 9_8_6, 9_9",< 200 m
163197,11_1,200 m +
163198,"10_1, 10_2, 10_3",deep oceanic
163199,"9_4, 9_5, 9_6",< 200 m
163200,9_8,< 200 m
163202,"10_1, 10_2",200 m +
163203,"10_1, 10_2",200 m +
163204,"10_1, 10_2",200 m +
163205,"9_1, 9_2, 9_3, 9_4, 9_5, 9_6, 9_10",< 200 m
163207,"10_1, 10_2, 10_3, 11_1, 11_5",deep oceanic
163209,"9_4, 9_5, 9_6",< 200 m
163210,"9_2, 9_4, 9_5, 9_6, 9_8, 9_9",< 200 m
163211,"9_1, 10_1",200 m +
163213,"9_1, 9_2, 9_3, 9_4, 9_5, 9_6, 9_7",< 200 m
163215,"9_4, 9_5, 9_6, 11_1",200 m +
163217,11_1,200 m +
163218,"10_1, 10_2, 10_3",deep oceanic
163219,"10_1, 10_2",200 m +
163220,"9_2, 9_3, 9_4, 9_5, 9_6, 9_7, 9_9",< 200 m
163221,"11_1_1, 11_1_2, 11_1",200 m +
163222,"10_1, 10_2",200 m +
163224,"9_2, 9_3, 12_1",< 200 m
163225,"11_1_1, 11_1_2, 11_1",200 m +
163226,"10_1, 10_2",200 m +
163227,"10_1, 10_2, 10_3",deep oceanic
163228,"10_1, 10_2",200 m +
163229,"10_1, 10_2, 10_3",deep oceanic
163230,"9_1, 9_2, 9_3, 9_4, 9_5, 9_6, 9_7, 9_8_1, 9_8_2, 9_8_3, 9_8_4, 9_8_5, 9_8_6, 9_9",< 200 m
163231,"10_1, 10_2",200 m +
163232,"10_1, 10_2, 10_3, 11_1, 11_5",deep oceanic
163233,"9_1, 9_2, 9_3, 9_4, 9_5, 9_6, 9_7, 9_8_1, 9_8_2, 9_8_3, 9_8_4, 9_8_5, 9_8_6, 9_9",< 200 m
163234,"10_1, 10_2, 11_1",200 m +
163235,"10_1, 10_2",200 m +
163236,"9_3, 9_4, 9_8_6, 9_8",< 200 m
163237,"11_1_1, 11_1_2, 11_1",200 m +
163238,"10_1, 10_2, 10_3",deep oceanic
163239,"9_2, 9_3, 9_4, 9_5, 9_6, 12_1, 12_4, 12_6",< 200 m
163240,10_2,200 m +
163241,11_1,200 m +
163242,"9_1, 9_5, 9_6, 10_1, 10_2, 11_1",200 m +
163243,"10_1, 10_2",200 m +
163244,"9_1, 9_2, 9_3, 9_4, 9_5, 9_6, 9_7, 9_8_1, 9_8_2, 9_8_3, 9_8_4, 9_8_5, 9_8_6, 9_9",< 200 m
163245,"10_2, 10_3",deep oceanic
163246,"9_1, 9_5, 9_6, 10_1, 10_2, 11_1",200 m +
163247,"10_1, 10_2, 10_3, 11_1",deep oceanic
163248,"9_2, 9_3, 12_1",< 200 m
163249,"9_4, 9_5, 9_6",< 200 m
163250,11_1,200 m +
163251,"9_2, 9_3, 9_4, 9_5",< 200 m
163252,"10_1, 10_2",200 m +
163253,"10_1, 10_2, 11_1",200 m +
163255,"10_1, 10_2",200 m +
163256,"10_1, 10_2",200 m +
163257,"10_1, 10_2",200 m +
163258,"10_1, 10_2, 10_3",deep oceanic
163260,"10_1, 10_2, 10_3",deep oceanic
163262,"10_1, 10_2",200 m +
163263,"10_1, 10_2, 10_3",deep oceanic
163264,9_8,< 200 m
163265,10_2,200 m +
163266,"10_1, 10_2, 10_3",deep oceanic
163267,"10_1, 10_2, 11_1",200 m +
163268,"10_1, 10_2",200 m +
163269,"9_1, 9_5, 9_6, 10_1, 10_2, 11_1",200 m +
163270,"10_1, 10_2, 11_1",200 m +
163271,"9_2, 9_4, 9_5, 9_6, 9_8, 9_9",< 200 m
163273,"9_2, 9_3, 9_4, 9_5, 9_6, 9_7",< 200 m
163274,"10_1, 10_2",200 m +
163275,"10_1, 10_2",200 m +
163276,"10_1, 10_2, 10_3",deep oceanic
163278,"10_1, 10_2, 10_3",deep oceanic
163279,9_6,< 200 m
163280,"9_2, 9_3, 9_8",< 200 m
163282,"11_1_1, 11_1_2, 11_1",200 m +
163284,"11_1_1, 11_1_2, 11_1",200 m +
163287,"9_4, 9_5, 9_6",< 200 m
163288,"10_2, 10_3",deep oceanic
163291,"9_2, 9_3, 9_8, 9_9, 12_1, 12_7",< 200 m
163292,"11_1_1, 11_1_2",200 m +
163293,"9_2, 9_8",< 200 m
163294,"10_1, 10_2, 10_3",deep oceanic
163295,"9_2, 9_3, 9_4, 9_5, 9_6",< 200 m
163298,"10_1, 10_2",200 m +
163299,"11_1_1, 11_1_2, 11_1",200 m +
163300,"10_1, 10_2",200 m +
163301,"9_4, 9_5, 9_6, 9_8",< 200 m
163302,"10_1, 10_2, 11_1",200 m +
163303,"9_2, 9_7, 9_9",< 200 m
163304,"11_1_1, 11_1_2, 11_1",200 m +
163305,"10_1, 10_2",200 m +
163306,"10_1, 10_2",200 m +
163307,"9_2, 9_3, 9_4, 9_5, 9_6, 11_1",200 m +
163308,"9_4, 9_5, 9_6, 11_1",200 m +
163309,10_3,deep oceanic
163310,"10_1, 10_2, 10_3, 11_1",deep oceanic
163311,"10_1, 10_2, 10_3",deep oceanic
163312,"10_1, 10_2, 10_3",deep oceanic
163313,"9_2, 12_1",< 200 m
163316,"10_1, 10_2",200 m +
163317,9_8,< 200 m
163318,"9_8_1, 9_8_2, 9_8_3, 9_8_4, 9_8_5, 9_8_6, 9_9",< 200 m
163320,11_1,200 m +
163321,9_8,< 200 m
163325,"10_1, 10_2",200 m +
163328,11_1,200 m +
163329,9_8,< 200 m
163330,"11_1_1, 11_1_2, 11_1",200 m +
163332,"10_2, 10_3",deep oceanic
163333,"9_4, 9_5, 9_6",< 200 m
163334,"10_1, 10_2, 10_3",deep oceanic
163335,"11_1_1, 11_1_2, 11_1",200 m +
163337,"11_1_1, 11_1_2, 11_1, 11_5, 11_6",200 m +
163338,"10_1, 10_2, 10_3",deep oceanic
163339,"9_2, 9_4, 9_5, 9_8, 12_2",< 200 m
163341,"11_1_1, 11_1_2, 11_1",200 m +
163342,"10_1, 10_2",200 m +
163343,"10_1, 10_2, 11_1",200 m +
163344,"9_8, 12_1",< 200 m
163345,"10_1, 10_2",200 m +
163346,9_8,< 200 m
163347,"10_1, 10_2, 10_3",deep oceanic
163348,"10_1, 10_2",200 m +
163349,"9_4, 9_5, 9_6",< 200 m
163350,"10_1, 10_2",200 m +
163352,"10_1, 10_2",200 m +
163353,"10_1, 10_2",200 m +
163354,"9_2, 9_4, 9_5, 9_6, 9_9",< 200 m
163356,"9_1, 9_9",< 200 m
163357,"10_1, 10_2",200 m +
163358,"9_4, 9_5, 9_6",< 200 m
163359,"9_4, 9_8, 12_1, 12_2",< 200 m
163360,"9_2, 9_3, 9_4, 9_5, 9_6, 11_1_2",200 m +
163361,"11_1_1, 11_1_2, 11_1",200 m +
163362,"10_1, 10_2",200 m +
163364,11_1,200 m +
163365,"10_1, 10_2",200 m +
163366,"10_1, 10_2, 10_3",deep oceanic
163367,"9_1, 9_2, 9_3, 9_4, 9_5, 9_6, 9_7",< 200 m
163368,"10_1, 10_2",200 m +
163369,"10_1, 10_2, 11_1",200 m +
163370,"9_2, 9_4, 9_5, 9_6, 11_1_1, 11_1_2",200 m +
163372,"10_1, 10_2",200 m +
163374,"10_1, 10_2, 10_3",deep oceanic
163375,"10_1, 10_2",200 m +
163376,"9_1, 9_9",< 200 m
163377,"11_1_1, 11_1_2, 11_1",200 m +
163379,"9_1, 9_2, 9_3, 9_4, 9_5, 9_6, 9_7, 9_10",< 200 m
163383,"9_1, 9_2, 9_3, 9_4, 9_5, 9_6, 9_7, 9_8_1, 9_8_2, 9_8_3, 9_8_4, 9_8_5, 9_8_6, 9_9",< 200 m
163384,9_8_3,< 200 m
163385,11_1,200 m +
163387,"9_4, 9_5, 9_6, 9_9, 12_4",< 200 m
163388,"9_4, 9_5, 9_6",< 200 m
163389,"10_1, 10_2",200 m +
163390,"9_4, 9_5, 9_6, 11_1_2, 11_1",200 m +
163391,"9_1, 10_1",200 m +
163393,"9_4, 9_5, 9_6",< 200 m
163394,"10_1, 10_2",200 m +
163396,"10_1, 10_2",200 m +
163397,"9_4, 9_5, 9_6",< 200 m
163399,"11_1_1, 11_1_2, 11_1",200 m +
163400,"10_1, 10_2",200 m +
163402,"10_1, 10_2",200 m +
163403,"10_1, 10_2",200 m +
163404,"11_1_1, 11_1_2, 11_1",200 m +
163405,"10_1, 10_2",200 m +
163406,11_1,200 m +
163407,11_1,200 m +
163444,9_10,< 200 m
163458,"9_10, 12_7",< 200 m
164004,12_5,< 20 m
164011,12_5,< 20 m
164037,"12_2, 12_3",< 20 m
164080,"12_2, 12_4",< 20 m
164082,13_1,unknown
164095,"12_4, 12_5",< 20 m
164113,12_5,< 20 m
164116,12_5,< 20 m
164141,12_5,< 20 m
164146,"12_4, 12_5, 12_6",< 20 m
164179,"12_2, 12_4, 12_5",< 20 m
164203,12_5,< 20 m
164226,"12_3, 12_5",< 20 m
164276,15_13,< 200 m
164280,"9_10, 12_4, 12_5",< 200 m
164308,13_1,unknown
164334,12_5,< 20 m
164341,"12_2, 12_5",< 20 m
164350,12_5,< 20 m
164364,12_5,< 20 m
164368,13_1,unknown
164375,12_5,< 20 m
164380,12_7,< 20 m
164392,"12_4, 12_5",< 20 m
164409,9_10,< 200 m
164436,12_2,< 20 m
164483,12_5,< 20 m
164487,"12_2, 13_1",< 20 m
164497,12_4,< 20 m
164508,"9_5, 9_6, 9_9, 9_10, 12_4, 12_5, 12_6, 12_7, 15_13",< 200 m
164513,"12_2, 12_4, 12_5",< 20 m
164517,12_5,< 20 m
164520,12_5,< 20 m
164523,12_5,< 20 m
164528,12_4,< 20 m
164596,12_2,< 20 m
164650,13_1,unknown
164653,"12_2, 12_5",< 20 m
164731,12_4,< 20 m
164893,9_10,< 200 m
165117,13_1,unknown
165214,13_1,unknown
165230,12_1,< 20 m
165268,13_1,unknown
165352,12_3,< 20 m
165413,"12_2, 12_3",< 20 m
165436,"12_2, 12_3, 13_1",< 20 m
165443,12_2,< 20 m
165607,"9_8_2, 9_8_3, 9_8_4, 9_8",< 200 m
165608,"9_8_1, 9_8_2, 9_8_3, 9_8_4, 9_8",< 200 m
165609,"9_8_1, 9_8_2, 9_8_3, 9_8_4, 9_8",< 200 m
165610,"9_2, 9_8_3, 9_8",< 200 m
165611,"9_2, 9_8_1, 9_8_2, 9_8_3, 9_8_4, 9_8, 9_9",< 200 m
165612,"9_8_1, 9_8_2, 9_8_3, 9_8_4, 9_8",< 200 m
165613,9_2,< 200 m
165614,9_2,< 200 m
165615,"9_2, 9_8_1, 9_8_2, 9_8_3, 9_8_4, 9_8",< 200 m
165616,"9_2, 9_5, 9_8_1, 9_8_2, 9_8_3, 9_8_4, 9_8",< 200 m
165617,"9_8_3, 9_8",< 200 m
165618,"9_2, 9_8_1, 9_8_2, 9_8_3, 9_8_4, 9_8",< 200 m
165619,"9_8_1, 9_8_2, 9_8_3, 9_8_4, 9_8",< 200 m
165620,"9_2, 9_8_3, 9_8",< 200 m
165621,"9_2, 9_3, 9_8",< 200 m
165622,"9_2, 9_8_1, 9_8_3, 9_8",< 200 m
165623,"9_8_1, 9_8_2, 9_8_3, 9_8_4, 9_8",< 200 m
165624,"9_8_1, 9_8_2, 9_8_3, 9_8_4, 9_8",< 200 m
165625,"9_2, 9_8_1, 9_8_2, 9_8_3, 9_8_4, 9_8",< 200 m
165626,"9_2, 9_8_1, 9_8_2, 9_8_3, 9_8_4, 9_8",< 200 m
165627,"9_2, 9_8_3, 9_8",< 200 m
165628,"9_2, 9_8_1, 9_8_2, 9_8_3, 9_8_4, 9_8",< 200 m
165630,"9_8_1, 9_8_2, 9_8_3, 9_8_4, 9_8",< 200 m
165631,"9_8_1, 9_8_2, 9_8_3, 9_8_4, 9_8",< 200 m
165632,"9_8_1, 9_8_2, 9_8_3, 9_8_4, 9_8",< 200 m
165633,9_2,< 200 m
165634,"9_8_1, 9_8_2, 9_8_3, 9_8_4, 9_8",< 200 m
165635,"9_2, 9_4, 9_8, 9_10, 12_6",< 200 m
165636,9_2,< 200 m
165637,"9_2, 9_8_1, 9_8_2, 9_8_3, 9_8_4, 9_8, 9_9",< 200 m
165638,"9_8_1, 9_8_2, 9_8_3, 9_8_4, 9_8",< 200 m
165639,9_2,< 200 m
165640,"9_8_1, 9_8_2, 9_8_3, 9_8_4, 9_8",< 200 m
165641,"9_8_1, 9_8_2, 9_8_3, 9_8_4, 9_8",< 200 m
165642,"9_2, 9_8_1, 9_8_2, 9_8_3, 9_8_4, 9_8",< 200 m
165643,"9_2, 9_8_1, 9_8_3, 9_8_5, 9_8_6, 9_8",< 200 m
165644,9_2,< 200 m
165645,9_2,< 200 m
165646,"9_2, 9_8",< 200 m
165647,"9_2, 9_8_1, 9_8_2, 9_8_3, 9_8_4, 9_8",< 200 m
165648,"9_2, 9_8_1, 9_8_2, 9_8_3, 9_8_4, 9_8_6, 9_8",< 200 m
165649,"9_2, 9_8",< 200 m
165650,"9_8_2, 9_8_3, 9_8_4, 9_8",< 200 m
165651,"9_2, 9_8_3, 9_8_4, 9_8",< 200 m
