iucn_sid,sciname,main_common_name,published_year,old_cat,criteria,cat,cat_score,iucn_version
178002,Naso hexacanthus,Sleek Unicornfish,2012,LC,NA,LC,0,2020-3
178003,Naso tuberosus,Humpnose Unicornfish,2012,DD,NA,DD,NA,2020-3
178004,Naso elegans,Elegant Unicornfish,2012,LC,NA,LC,0,2020-3
178005,Zebrasoma scopas,Brushtail Tang,2012,LC,NA,LC,0,2020-3
178006,Acanthurus grammoptilus,Finelined Surgeonfish,2012,LC,NA,LC,0,2020-3
178007,Acanthurus albipectoralis,Whitefin Surgeonfish,2012,LC,NA,LC,0,2020-3
178008,Acanthurus thompsoni,Thompson's Surgeonfish,2012,LC,NA,LC,0,2020-3
178009,Zebrasoma xanthurum,Yellowtail Tang,2012,LC,NA,LC,0,2020-3
178010,Zebrasoma veliferum,Sailfin Tang,2012,LC,NA,LC,0,2020-3
178011,Acanthurus leucopareius,Whitebar Surgeonfish,2012,LC,NA,LC,0,2020-3
178012,Ctenochaetus striatus,Striped Bristletooth,2012,LC,NA,LC,0,2020-3
178013,Naso caesius,Gray Unicornfish,2012,LC,NA,LC,0,2020-3
178014,Ctenochaetus hawaiiensis,Hawaiian Bristletooth,2012,LC,NA,LC,0,2020-3
178015,Zebrasoma flavescens,Yellow Tang,2012,LC,NA,LC,0,2020-3
178016,Prionurus microlepidotus,Sixplate Sawtail,2012,LC,NA,LC,0,2020-3
178017,Acanthurus nigricauda,Blackstreak Surgeonfish,2012,LC,NA,LC,0,2020-3
178018,Ctenochaetus flavicauda,Whitetail Bristletooth,2012,LC,NA,LC,0,2020-3
178019,Acanthurus nigrofuscus,Brown Surgeonfish,2012,LC,NA,LC,0,2020-3
178020,Naso maculatus,Spotted Unicornfish,2012,LC,NA,LC,0,2020-3
178021,Prionurus biafraensis,Biafra Sawtail,2012,LC,NA,LC,0,2020-3
178022,Acanthurus pyroferus,Mimic Surgeonfish,2012,LC,NA,LC,0,2020-3
178023,Acanthurus monroviae,Monrovia Surgeonfish,2012,LC,NA,LC,0,2020-3
178024,Zebrasoma desjardinii,Indian Sailfin Tang,2012,LC,NA,LC,0,2020-3
178025,Prionurus maculatus,Yellowspotted Sawtail,2012,LC,NA,LC,0,2020-3
178043,Albula esuncula,Eastern Pacific Bonefish,2010,LC,NA,LC,0,2020-3
178048,Pythonichthys asodes,Pacific Mud Eel,2010,LC,NA,LC,0,2020-3
178051,Cynoponticus coniceps,Red pike-conger,2010,DD,NA,DD,NA,2020-3
178054,Myroconger nigrodentatus,Orange Conger-Moray,2010,LC,NA,LC,0,2020-3
178057,Phthanophaneron harveyi,Panamic flashlightfish,2010,DD,NA,DD,NA,2020-3
178060,Ammodytoides gilli,Panamic sand lance,2010,LC,NA,LC,0,2020-3
178062,Centropomus armatus,Longspine snook,2020,LC,NA,LC,0,2020-3
178063,Centropomus medius,Pacific blackfin,2019,LC,NA,LC,0,2020-3
178064,Centropomus nigrescens,Black Robalo,2019,LC,NA,LC,0,2020-3
178065,Centropomus robalito,Yellowfin snook,2019,LC,NA,LC,0,2020-3
178066,Centropomus unionensis,Humpback snook,2010,LC,NA,LC,0,2020-3
178067,Centropomus viridis,White snook,2020,LC,NA,LC,0,2020-3
178070,Cirrhitus rivulatus,Giant Hawkfish,2010,LC,NA,LC,0,2020-3
178072,Chaetodipterus zonatus,Pacific Spadefish,2010,LC,NA,LC,0,2020-3
178074,Parapsettus panamensis,Panama Spadefish,2010,LC,NA,LC,0,2020-3
178077,Lobotes pacificus,Pacific tripletail,2010,LC,NA,LC,0,2020-3
178081,Cerdale paludicola,Mangrove Worm-goby,2010,DD,NA,DD,NA,2020-3
178082,Cerdale prolata,Many-spined Worm-goby,2010,DD,NA,DD,NA,2020-3
178084,Clarkichthys bilineatus,Flagtail wormfish,2010,DD,NA,DD,NA,2020-3
178086,Microdesmus affinis,Olivaceous Wormfish,2010,DD,NA,DD,NA,2020-3
178087,Microdesmus dipus,Banded worm goby,2010,DD,NA,DD,NA,2020-3
178088,Microdesmus dorsipunctatus,Spotback Wormfish,2010,DD,NA,DD,NA,2020-3
178089,Microdesmus hildebrandi,Dark-tailed Worm-goby,2010,DD,NA,DD,NA,2020-3
178090,Microdesmus intermedius,Long-tailed Worm-goby,2010,DD,NA,DD,NA,2020-3
178091,Microdesmus knappi,Fat-lipped Worm-goby,2010,DD,NA,DD,NA,2020-3
178092,Microdesmus multiradiatus,Giant Worm-goby,2010,DD,NA,DD,NA,2020-3
178093,Microdesmus retropinnis,Rearfin Wormfish,2010,DD,NA,DD,NA,2020-3
178094,Microdesmus suttkusi,Spotside wormfish,2010,DD,NA,DD,NA,2020-3
178097,Psenes sio,Twospine driftfish,2010,LC,NA,LC,0,2020-3
178100,Priacanthus alalaua,Alalaua,2010,LC,NA,LC,0,2020-3
178102,Pristigenys serrula,Popeye catalufa,2010,LC,NA,LC,0,2020-3
178105,Sphyraena argentea,Pacific Barracuda,2010,LC,NA,LC,0,2020-3
178106,Sphyraena ensis,Mexican Barracuda,2010,LC,NA,LC,0,2020-3
178107,Sphyraena idiastes,Pelican Barracuda,2010,LC,NA,LC,0,2020-3
178108,Sphyraena lucasana,Cortez Barracuda,2010,DD,NA,DD,NA,2020-3
178111,Fistularia corneta,Pacific Cornetfish,2017,LC,NA,LC,0,2020-3
178796,Sonneratia caseolaris,NA,2010,LC,NA,LC,0,2020-3
178797,Aegiceras corniculatum,NA,2010,LC,NA,LC,0,2020-3
178798,Laguncularia racemosa,White Mangrove,2010,LC,NA,LC,0,2020-3
178799,Sonneratia griffithii,NA,2010,CR,A2cd,CR,0.8,2020-3
178800,Nypa fruticans,Nypa Palm,2010,LC,NA,LC,0,2020-3
178801,Tabebuia palustris,NA,2010,VU,A2c,VU,0.4,2020-3
178802,Aegialitis annulata,NA,2010,LC,NA,LC,0,2020-3
178803,Bruguiera gymnorhiza,Oriental Mangrove,2010,LC,NA,LC,0,2020-3
178804,Sonneratia alba,NA,2010,LC,NA,LC,0,2020-3
178805,Xylocarpus moluccensis,NA,2010,LC,NA,LC,0,2020-3
178806,Conocarpus erectus,Silver-leaved Buttonwood,2010,LC,NA,LC,0,2020-3
178807,Heritiera globosa,NA,2010,EN,B1ab(iii),EN,0.6,2020-3
178808,Camptostemon philippinense,NA,2010,EN,C1,EN,0.6,2020-3
178809,Avicennia rumphiana,NA,2010,VU,A2c,VU,0.4,2020-3
178810,Acrostichum danaeifolium,NA,2010,LC,NA,LC,0,2020-3
178811,Avicennia germinans,Black Mangrove,2010,LC,NA,LC,0,2020-3
178812,Ceriops zippeliana,NA,2010,LC,NA,LC,0,2020-3
178813,Acrostichum speciosum,NA,2010,LC,NA,LC,0,2020-3
178814,Sonneratia ovata,NA,2010,NT,NA,NT,0.2,2020-3
178815,Heritiera fomes,NA,2010,EN,A2cde,EN,0.6,2020-3
178816,Phoenix paludosa,Mangrove Date Palm,2010,NT,NA,NT,0.2,2020-3
178817,Scyphiphora hydrophylacea,NA,2010,LC,NA,LC,0,2020-3
178818,Camptostemon schultzii,NA,2010,LC,NA,LC,0,2020-3
178819,Rhizophora racemosa,NA,2010,LC,NA,LC,0,2020-3
178820,Avicennia officinalis,NA,2010,LC,NA,LC,0,2020-3
178821,Bruguiera parviflora,Smallflower Bruguiera,2010,LC,NA,LC,0,2020-3
178822,Ceriops tagal,NA,2010,LC,NA,LC,0,2020-3
178823,Avicennia schaueriana,Mangle Blanco,2010,LC,NA,LC,0,2020-3
178824,Ceriops australis,NA,2010,LC,NA,LC,0,2020-3
178825,Rhizophora mucronata,True Mangrove,2010,LC,NA,LC,0,2020-3
178826,Bruguiera exaristata,NA,2010,LC,NA,LC,0,2020-3
178827,Sonneratia lanceolata,NA,2010,LC,NA,LC,0,2020-3
178828,Avicennia marina,Grey Mangrove,2010,LC,NA,LC,0,2020-3
178829,Cynometra iripa,NA,2010,LC,NA,LC,0,2020-3
178830,Avicennia alba,NA,2010,LC,NA,LC,0,2020-3
178831,Rhizophora samoensis,NA,2010,NT,NA,NT,0.2,2020-3
178832,Acanthus ebracteatus,Sea Holly,2010,LC,NA,LC,0,2020-3
178833,Pelliciera rhizophorae,Manglar Piñuelo,2010,VU,B2ab(iii),VU,0.4,2020-3
178834,Bruguiera hainesii,NA,2010,CR,C1,CR,0.8,2020-3
178835,Brownlowia tersa,NA,2010,NT,NA,NT,0.2,2020-3
178836,Excoecaria indica,NA,2010,DD,NA,DD,NA,2020-3
178837,Acanthus volubilis,NA,2010,LC,NA,LC,0,2020-3
178838,Pemphis acidula,NA,2010,LC,NA,LC,0,2020-3
178839,Aegialitis rotundifolia,NA,2010,NT,NA,NT,0.2,2020-3
178840,Bruguiera cylindrica,NA,2010,LC,NA,LC,0,2020-3
178841,Sonneratia apetala,NA,2010,LC,NA,LC,0,2020-3
178842,Excoecaria agallocha,NA,2010,LC,NA,LC,0,2020-3
178843,Bruguiera sexangula,NA,2010,LC,NA,LC,0,2020-3
178844,Avicennia integra,NA,2010,VU,"B1ab(ii,iii)",VU,0.4,2020-3
178845,Xylocarpus granatum,NA,2010,LC,NA,LC,0,2020-3
178846,Lumnitzera racemosa,NA,2010,LC,NA,LC,0,2020-3
178847,Avicennia bicolor,NA,2010,VU,A2cd,VU,0.4,2020-3
178848,Brownlowia argentata,NA,2010,DD,NA,DD,NA,2020-3
178849,Osbornia octodonta,NA,2010,LC,NA,LC,0,2020-3
178850,Rhizophora stylosa,NA,2010,LC,NA,LC,0,2020-3
178851,Rhizophora mangle,Red Mangrove,2015,LC,NA,LC,0,2020-3
178852,Heritiera littoralis,NA,2010,LC,NA,LC,0,2020-3
178853,Ceriops decandra,NA,2010,NT,NA,NT,0.2,2020-3
178854,Lumnitzera littorea,NA,2010,LC,NA,LC,0,2020-3
178855,Kandelia obovata,NA,2010,LC,NA,LC,0,2020-3
178856,Aegiceras floridum,NA,2010,NT,NA,NT,0.2,2020-3
178857,Kandelia candel,NA,2010,LC,NA,LC,0,2020-3
178858,Mora oleifera,NA,2010,VU,C1,VU,0.4,2020-3
178889,Enneapterygius rhabdotus,Umpire Triplefin,2014,LC,NA,LC,0,2020-3
178890,Enneapterygius cheni,NA,2014,LC,NA,LC,0,2020-3
178891,Enneapterygius clea,Clea's Triplefin,2014,LC,NA,LC,0,2020-3
178892,Ucla xenogrammus,Largemouth Triplefin,2014,LC,NA,LC,0,2020-3
178893,Enneapterygius kosiensis,NA,2014,LC,NA,LC,0,2020-3
178894,Enneapterygius flavoccipitis,Yellownape Tripplefin,2014,LC,NA,LC,0,2020-3
178895,Enneapterygius rubicauda,Redtail Triplefin,2014,LC,NA,LC,0,2020-3
178896,Bellapiscis lesleyae,Mottled Twister,2014,LC,NA,LC,0,2020-3
178897,Heteroclinus heptaeolus,Seven-bar Weedfish,2014,LC,NA,LC,0,2020-3
178898,Enneanectes pectoralis,Redeye Blenny,2014,LC,NA,LC,0,2020-3
178899,Heteroclinus kuiteri,NA,2014,LC,NA,LC,0,2020-3
178900,Myxodes ornatus,NA,2014,DD,NA,DD,NA,2020-3
178901,Heteroclinus wilsoni,Wilson's Weedfish,2014,LC,NA,LC,0,2020-3
178902,Gibbonsia montereyensis,Crevice Kelpfish,2014,LC,NA,LC,0,2020-3
178903,Heteroclinus adelaidae,Adelaide's Weedfish,2014,LC,NA,LC,0,2020-3
178904,Forsterygion lapillum,Common Triplefin,2014,LC,NA,LC,0,2020-3
178905,Apopterygion oculus,Ocellate Triplefin,2014,LC,NA,LC,0,2020-3
178906,Pavoclinus myae,Mya's Klipfish,2014,LC,NA,LC,0,2020-3
178907,Helcogramma nesion,NA,2014,LC,NA,LC,0,2020-3
178908,Enneapterygius ornatus,Henderson Triplefin,2014,LC,NA,LC,0,2020-3
178909,Helcogramma vulcana,NA,2014,LC,NA,LC,0,2020-3
178910,Enneanectes boehlkei,Roughhead Triplefin,2014,LC,NA,LC,0,2020-3
178911,Enneapterygius randalli,Rapa Triplefin,2014,LC,NA,LC,0,2020-3
178912,Helcogramma ellioti,Red-eye Threefin,2014,LC,NA,LC,0,2020-3
178913,Enneapterygius fuscoventer,Blackbelly Triplefin,2014,LC,NA,LC,0,2020-3
178914,Acanthanectes rufus,NA,2014,LC,NA,LC,0,2020-3
178915,Enneapterygius similis,Black-and-Red Triplefin,2014,LC,NA,LC,0,2020-3
178916,Helcogramma alkamr,NA,2014,LC,NA,LC,0,2020-3
178917,Gibbonsia metzi,Striped Kelpfish,2014,LC,NA,LC,0,2020-3
178918,Clinus agilis,Agile Klipfish,2014,LC,NA,LC,0,2020-3
178919,Enneanectes atrorus,Blackedge Triplefin,2014,LC,NA,LC,0,2020-3
178920,Enneapterygius atriceps,Hawaiian Blackhead Triplefin,2014,LC,NA,LC,0,2020-3
178921,Helcogramma randalli,NA,2014,LC,NA,LC,0,2020-3
178922,Pavoclinus litorafontis,Slinky Klipfish,2014,LC,NA,LC,0,2020-3
178923,Ophiclinops pardalis,Spotted Snakeblenny,2014,DD,NA,DD,NA,2020-3
178924,Springerichthys bapturus,Japanese Blacktail Triplefin,2014,LC,NA,LC,0,2020-3
178925,Gibbonsia elegans,Spotted Kelpfish,2014,LC,NA,LC,0,2020-3
178926,Helcogramma kranos,Helmet Triplefin,2014,LC,NA,LC,0,2020-3
178927,Pavoclinus mentalis,Bearded Klipfish,2014,LC,NA,LC,0,2020-3
178928,Enneapterygius signicauda,Flagtail Triplefin,2014,LC,NA,LC,0,2020-3
178929,Ophiclinus ningulus,Variable Snake-blenny,2014,LC,NA,LC,0,2020-3
178930,Heteroclinus macrophthalmus,Tasselled Weedfish,2014,LC,NA,LC,0,2020-3
178931,Clinus helenae,Helen's Klipfish,2014,LC,NA,LC,0,2020-3
178932,Enneapterygius tutuilae,High Hat Triplefin,2014,LC,NA,LC,0,2020-3
178933,Blennophis striatus,Striped Klipfish,2014,LC,NA,LC,0,2020-3
178934,Enneapterygius kermadecensis,Kermadec Triplefin,2014,LC,NA,LC,0,2020-3
178935,Heteroclinus eckloniae,Kelp Weedfish,2014,LC,NA,LC,0,2020-3
178936,Heteroclinus puellarum,Little Weedfish,2014,LC,NA,LC,0,2020-3
178937,Enneapterygius niger,Black Triplefin,2014,LC,NA,LC,0,2020-3
178938,Enneanectes smithi,NA,2014,VU,D2,VU,0.4,2020-3
178939,Trinorfolkia cristata,Crested Triplefin,2014,LC,NA,LC,0,2020-3
178940,Enneapterygius hollemani,Holleman's Triplefin,2014,LC,NA,LC,0,2020-3
178941,Cirrhibarbis capensis,Barbelled Klipfish,2014,LC,NA,LC,0,2020-3
178942,Sticharium dorsale,Sand Crawler,2014,LC,NA,LC,0,2020-3
178943,Pavoclinus laurentii,Rippled Klipfish,2014,LC,NA,LC,0,2020-3
178944,Matanui bathytaton,Chatham Deepwater Triplefin,2014,LC,NA,LC,0,2020-3
178945,Heteroclinus johnstoni,Johnston's Weedfish,2014,LC,NA,LC,0,2020-3
178947,Lepidoblennius marmoratus,Western Jumping Blenny,2014,LC,NA,LC,0,2020-3
178948,Bellapiscis medius,Twister,2014,LC,NA,LC,0,2020-3
178949,Helcogramma fuscipectoris,Fourspot Triplefin,2014,LC,NA,LC,0,2020-3
178950,Enneapterygius bahasa,Blacktail Triplefin,2014,LC,NA,LC,0,2020-3
178951,Springerichthys kulbickii,Kulbicki's Triplefin,2014,LC,NA,LC,0,2020-3
178952,Clinus woodi,Oldman Klipfish,2014,LC,NA,LC,0,2020-3
178953,Blennioclinus brachycephalus,Lace Klipfish ,2014,LC,NA,LC,0,2020-3
178954,Enneapterygius sheni,NA,2014,DD,NA,DD,NA,2020-3
178956,Norfolkia leeuwin,Leeuwin Triplefin,2014,LC,NA,LC,0,2020-3
178957,Enneapterygius pyramis,Pyramid Triplefin,2014,LC,NA,LC,0,2020-3
178958,Enneapterygius ventermaculus,Pakistan Triplefin,2014,LC,NA,LC,0,2020-3
178959,Enneapterygius melanospilus,NA,2014,LC,NA,LC,0,2020-3
178960,Trianectes bucephalus,Bullhead Triplefin,2014,LC,NA,LC,0,2020-3
178961,Gilloblennius abditus,Obscure Triplefin,2014,LC,NA,LC,0,2020-3
178962,Clinus venustris,Speckled Klipfish,2014,LC,NA,LC,0,2020-3
178963,Enneapterygius triserialis,White-spotted Triplefin,2014,LC,NA,LC,0,2020-3
178965,Notoclinops segmentatus,Blue-eyed Triplefin,2014,LC,NA,LC,0,2020-3
178966,Helcogramma solorensis,Solor Triplefin,2014,DD,NA,DD,NA,2020-3
178967,Enneapterygius obscurus,NA,2014,LC,NA,LC,0,2020-3
178968,Pavoclinus smalei,Deep-reef Klipfish,2014,LC,NA,LC,0,2020-3
178969,Forsterygion maryannae,Oblique-swimming Triplefin,2014,LC,NA,LC,0,2020-3
178970,Notoclinus fenestratus,New Zealand Topknot,2014,LC,NA,LC,0,2020-3
178971,Clinus berrisfordi,Onrust Klipfish,2014,LC,NA,LC,0,2020-3
178972,Cristiceps aurantiacus,Golden Weedfish,2014,LC,NA,LC,0,2020-3
178973,Helcogramma rharhabe,NA,2014,LC,NA,LC,0,2020-3
178974,Pavoclinus profundus,Deepwater Klipfish,2014,LC,NA,LC,0,2020-3
178976,Clinus rotundifrons,Kelp Klipfish,2014,LC,NA,LC,0,2020-3
178977,Enneapterygius paucifasciatus,New Caledonian Striped Triplefin,2014,LC,NA,LC,0,2020-3
178978,Enneanectes altivelis,Lofty Triplefin,2014,LC,NA,LC,0,2020-3
178979,Helcogramma rhinoceros,Rhinocerus Triplefin,2014,LC,NA,LC,0,2020-3
178980,Clinus nematopterus,Chinese Klipfish,2014,LC,NA,LC,0,2020-3
178981,Helcogramma obtusirostris,Shortsnout Triplefin,2014,LC,NA,LC,0,2020-3
178982,Enneapterygius genamaculatus,NA,2014,LC,NA,LC,0,2020-3
178983,Cremnochorites capensis,Cape Triplefin,2014,LC,NA,LC,0,2020-3
178984,Helcogramma larvata,NA,2014,DD,NA,DD,NA,2020-3
178985,Enneapterygius pallidoserialis,Pale White-spotted Triplefin,2014,LC,NA,LC,0,2020-3
178986,Enneapterygius rufopileus,Redcap Triplefin,2014,LC,NA,LC,0,2020-3
178987,Enneapterygius altipinnis,Highfin Triplefin,2014,LC,NA,LC,0,2020-3
178988,Notoclinops yaldwyni,Yaldwyn's Triplefin,2014,LC,NA,LC,0,2020-3
178989,Helcogramma hudsoni,Hudson's Triplefin,2014,LC,NA,LC,0,2020-3
178990,Forsterygion flavonigrum,Yellow-and-black Triplefin,2014,LC,NA,LC,0,2020-3
178991,Enneapterygius williamsi,William's Triplefin,2014,LC,NA,LC,0,2020-3
178992,Norfolkia brachylepis,Tropical scaly-headed Triplefin,2014,LC,NA,LC,0,2020-3
178993,Cryptichthys jojettae,Cryptic Triplefin,2014,LC,NA,LC,0,2020-3
178994,Fucomimus mus,Mousey Klipfish,2014,LC,NA,LC,0,2020-3
178995,Notoclinops caerulepunctus,Blue Dot Triplefin,2014,LC,NA,LC,0,2020-3
178996,Helcogrammoides cunninghami,Cunningham's Triplefin,2014,LC,NA,LC,0,2020-3
178997,Clinus cottoides,Bluntnose Klipfish,2014,LC,NA,LC,0,2020-3
178998,Ruanoho decemdigitatus,Longfinned Triplefin,2014,LC,NA,LC,0,2020-3
178999,Clinus latipennis,False Bay Klipfish,2014,EN,B2ab(iii),EN,0.6,2020-3
179000,Helcogramma novaecaledoniae,New Caledonian Triplefin,2014,LC,NA,LC,0,2020-3
179001,Enneapterygius nanus,Pygmy Triplefin,2014,LC,NA,LC,0,2020-3
179002,Enneapterygius fasciatus,Tiny Threefin,2014,LC,NA,LC,0,2020-3
179003,Cancelloxus burrelli,Slender Platanna-klipfish,2014,LC,NA,LC,0,2020-3
179004,Xenopoclinus kochi,Platanna Klipfish,2014,LC,NA,LC,0,2020-3
179005,Ericentrus rubrus,Orange Clinid,2014,LC,NA,LC,0,2020-3
179006,Enneapterygius atrogulare,Blackthroat Triplefin,2014,LC,NA,LC,0,2020-3
179007,Heteroclinus nasutus,Large-nose Weedfish,2014,LC,NA,LC,0,2020-3
179008,Ophiclinops hutchinsi,Earspot Snakeblenny,2014,LC,NA,LC,0,2020-3
179009,Heteroclinus antinectes,NA,2014,LC,NA,LC,0,2020-3
179010,Clinoporus biporosus,Ladder Klipfish,2014,LC,NA,LC,0,2020-3
179012,Helcogramma capidata,Hooded Triplefin,2014,LC,NA,LC,0,2020-3
179013,Enneapterygius elaine,NA,2014,LC,NA,LC,0,2020-3
179014,Forsterygion varium,Striped Triplefin,2014,LC,NA,LC,0,2020-3
179015,Heterostichus rostratus,Giant Kelpfish,2014,LC,NA,LC,0,2020-3
179016,Pavoclinus graminis,Grass Klipfish,2014,LC,NA,LC,0,2020-3
179017,Enneapterygius rhothion,Surf Triplefin,2014,LC,NA,LC,0,2020-3
179018,Helcogramma maldivensis,NA,2014,DD,NA,DD,NA,2020-3
179019,Enneapterygius larsonae,Western Australian Black-head Triplefin,2014,LC,NA,LC,0,2020-3
179020,Helcogramma steinitzi,Red Triplefin,2014,LC,NA,LC,0,2020-3
179021,Acanthanectes hystrix,NA,2014,LC,NA,LC,0,2020-3
179022,Forsterygion gymnota,Tasmanian Robust Triplefin,2014,LC,NA,LC,0,2020-3
179023,Ribeiroclinus eigenmanni,NA,2014,LC,NA,LC,0,2020-3
179024,Trinorfolkia clarkei,Clarke's Triplefin,2014,LC,NA,LC,0,2020-3
179025,Ophiclinus pectoralis,Whiteblotch Snakeblenny,2014,LC,NA,LC,0,2020-3
179026,Blennodon dorsale,Giant Triplefin,2014,LC,NA,LC,0,2020-3
179027,Ophiclinops varius,Variegated Snake-blenny,2014,LC,NA,LC,0,2020-3
179028,Myxodes cristatus,Sailfin Clinid,2014,LC,NA,LC,0,2020-3
179029,Karalepis stewarti,New Zealand Scaly-headed Triplefin,2014,LC,NA,LC,0,2020-3
179030,Helcogrammoides antarcticus,NA,2014,DD,NA,DD,NA,2020-3
179031,Helcogramma microstigma,NA,2014,LC,NA,LC,0,2020-3
179032,Sticharium clarkae,Dusky Crawler,2014,LC,NA,LC,0,2020-3
179033,Helcogramma ememes,NA,2014,LC,NA,LC,0,2020-3
179034,Tripterygion tartessicum,NA,2014,LC,NA,LC,0,2020-3
179035,Ceratobregma acanthops,Spotted Spiny-eye Triplefin,2014,LC,NA,LC,0,2020-3
179036,Ophiclinus gracilis,Black-back Snake-blenny,2014,LC,NA,LC,0,2020-3
179037,Enneapterygius mirabilis,Miracle Triplefin,2014,LC,NA,LC,0,2020-3
179038,Helcogramma rosea,NA,2014,LC,NA,LC,0,2020-3
179039,Brachynectes fasciatus,Southern Barred Triplefin,2014,LC,NA,LC,0,2020-3
179040,Helcogramma nigra,NA,2014,LC,NA,LC,0,2020-3
179041,Blennioclinus stella,Silverbubble Klipfish ,2014,LC,NA,LC,0,2020-3
179042,Cristiceps australis,Crested Weedfish,2014,LC,NA,LC,0,2020-3
179043,Norfolkia thomasi,Thomas' Triplefin,2014,LC,NA,LC,0,2020-3
179044,Helcogramma fuscopinna,Blackfin Triplefin,2014,LC,NA,LC,0,2020-3
179045,Enneapterygius pusillus,Highcrest Triplefin,2014,LC,NA,LC,0,2020-3
179046,Helcogramma serendip,NA,2014,LC,NA,LC,0,2020-3
179047,Helcogramma aquila,Blacktail Triplefin,2014,LC,NA,LC,0,2020-3
179048,Apopterygion alta,Tasselled Triplefin,2014,LC,NA,LC,0,2020-3
179049,Springeratus xanthosoma,NA,2014,LC,NA,LC,0,2020-3
179050,Cancelloxus longior,NA,2014,LC,NA,LC,0,2020-3
179051,Muraenoclinus dorsalis,Nosestripe Klipfish,2014,LC,NA,LC,0,2020-3
179052,Helcogramma lacuna,NA,2014,LC,NA,LC,0,2020-3
179053,Helcogramma gymnauchen,Red-finned Triplefin,2014,LC,NA,LC,0,2020-3
179054,Clinus acuminatus,Sad Klipfish,2014,LC,NA,LC,0,2020-3
179055,Lepidoblennius haplodactylus,Eastern Jumping Blenny,2014,LC,NA,LC,0,2020-3
179056,Enneapterygius ziegleri,Ziegler's Triplefin,2014,LC,NA,LC,0,2020-3
179057,Enneapterygius gracilis,Northern Yellow-black Triplefin,2014,LC,NA,LC,0,2020-3
179058,Helcogramma albimacula,NA,2014,LC,NA,LC,0,2020-3
179059,Cancelloxus elongatus,Whiteblotched Klipfish,2014,LC,NA,LC,0,2020-3
179060,Helcogramma cerasina,NA,2014,LC,NA,LC,0,2020-3
179061,Cristiceps argyropleura,Silver-sided Weedfish,2014,LC,NA,LC,0,2020-3
179062,Enneapterygius nigricauda,Blacktail Triplefin,2014,LC,NA,LC,0,2020-3
179063,Cologrammus flavescens,Short-tassel Weedfish,2014,LC,NA,LC,0,2020-3
179064,Ceratobregma helenae,Striped Spiny-eye Triplefin,2014,LC,NA,LC,0,2020-3
179065,Norfolkia squamiceps,Scalyhead Triplefin,2014,LC,NA,LC,0,2020-3
179066,Enneapterygius gruschkai,NA,2014,LC,NA,LC,0,2020-3
179067,Peronedys anguillaris,Eel Blenny,2014,DD,NA,DD,NA,2020-3
179068,Enneapterygius vexillarius,Blacksaddle Triplefin,2014,LC,NA,LC,0,2020-3
179069,Blennophis anguillaris,Snaky Klipfish,2014,LC,NA,LC,0,2020-3
179070,Heteroclinus equiradiatus,NA,2014,LC,NA,LC,0,2020-3
179071,Enneapterygius destai,NA,2014,LC,NA,LC,0,2020-3
179072,Enneapterygius senoui,NA,2014,LC,NA,LC,0,2020-3
179074,Enneapterygius minutus,Minute Triplefin,2014,LC,NA,LC,0,2020-3
179075,Pavoclinus pavo,Peacock Klipfish,2014,LC,NA,LC,0,2020-3
179076,Matanui profundum,Deepwater Triplefin,2014,LC,NA,LC,0,2020-3
179077,Enneapterygius miyakensis,Izu Islands Triplefin,2014,LC,NA,LC,0,2020-3
179078,Clinus robustus,Robust Klipfish,2014,LC,NA,LC,0,2020-3
179079,Heteroclinus tristis,Sharp-nose Weedfish,2014,LC,NA,LC,0,2020-3
179080,Enneapterygius clarkae,Barred Triplefin,2014,LC,NA,LC,0,2020-3
179081,Springeratus polyporatus,NA,2014,EN,B2ab(iii),EN,0.6,2020-3
179083,Smithichthys fucorum,Leafy Klipfish,2014,LC,NA,LC,0,2020-3
179084,Trinorfolkia incisa,Notched Triplefin,2014,LC,NA,LC,0,2020-3
179085,Enneapterygius philippinus,Minute Triplefin,2014,LC,NA,LC,0,2020-3
179086,Enneapterygius trisignatus,NA,2014,LC,NA,LC,0,2020-3
179087,Enneapterygius shaoi,NA,2014,LC,NA,LC,0,2020-3
179088,Gilloblennius tripennis,Thripenny,2014,LC,NA,LC,0,2020-3
179089,Helcogrammoides chilensis,NA,2014,LC,NA,LC,0,2020-3
179090,Clinus brevicristatus,Cape Klipfish,2014,LC,NA,LC,0,2020-3
179091,Climacoporus navalis,Fleet Klipfish,2014,LC,NA,LC,0,2020-3
179092,Ophiclinus brevipinnis,Shortfin Snakeblenny,2014,LC,NA,LC,0,2020-3
179093,Enneapterygius unimaculatus,Onespot Triplefin,2014,LC,NA,LC,0,2020-3
179094,Myxodes viridis,Trambollo Verde,2014,LC,NA,LC,0,2020-3
179095,Forsterygion malcolmi,Mottled Triplefin,2014,LC,NA,LC,0,2020-3
179096,Clinus superciliosus,Super Klipfish,2014,LC,NA,LC,0,2020-3
179097,Clinus taurus,Bull Klipfish,2014,LC,NA,LC,0,2020-3
179099,Forsterygion capito,Spotted Robust Triplefin,2014,LC,NA,LC,0,2020-3
179100,Ophiclinus gabrieli,Frosted Snake-blenny,2014,LC,NA,LC,0,2020-3
179102,Enneapterygius elegans,Hourglass Triplefin,2014,LC,NA,LC,0,2020-3
179103,Helcogramma desa,NA,2014,LC,NA,LC,0,2020-3
179104,Pavoclinus caeruleopunctatus,NA,2014,LC,NA,LC,0,2020-3
