country,year,value,unit,sector,data_source
Antigua and Barbuda,2007,0,USD (1),aqf,FAO global trade
Antigua and Barbuda,2008,0,USD (1),aqf,FAO global trade
Antigua and Barbuda,2009,0,USD (1),aqf,FAO global trade
Antigua and Barbuda,2010,100,USD (1),aqf,FAO global trade
Antigua and Barbuda,2011,0,USD (1),aqf,FAO global trade
Antigua and Barbuda,2012,0,USD (1),aqf,FAO global trade
Antigua and Barbuda,2013,0,USD (1),aqf,FAO global trade
Antigua and Barbuda,2014,0,USD (1),aqf,FAO global trade
Antigua and Barbuda,2015,0,USD (1),aqf,FAO global trade
Antigua and Barbuda,2016,0,USD (1),aqf,FAO global trade
Antigua and Barbuda,2017,0,USD (1),aqf,FAO global trade
Antigua and Barbuda,2018,0,USD (1),aqf,FAO global trade
Antigua and Barbuda,2019,0,USD (1),aqf,FAO global trade
Antigua and Barbuda,2020,0,USD (1),aqf,FAO global trade
Antigua and Barbuda,2021,0,USD (1),aqf,FAO global trade
Argentina,1976,3000,USD (1),aqf,FAO global trade
Argentina,1977,9000,USD (1),aqf,FAO global trade
Argentina,1978,9000,USD (1),aqf,FAO global trade
Argentina,1979,9000,USD (1),aqf,FAO global trade
Argentina,1980,32000,USD (1),aqf,FAO global trade
Argentina,1981,8000,USD (1),aqf,FAO global trade
Argentina,1982,5000,USD (1),aqf,FAO global trade
Argentina,1983,3000,USD (1),aqf,FAO global trade
Argentina,1984,0,USD (1),aqf,FAO global trade
Argentina,1985,0,USD (1),aqf,FAO global trade
Argentina,1986,5000,USD (1),aqf,FAO global trade
Argentina,1987,9000,USD (1),aqf,FAO global trade
Argentina,1988,2000,USD (1),aqf,FAO global trade
Argentina,1989,3000,USD (1),aqf,FAO global trade
Argentina,1990,3000,USD (1),aqf,FAO global trade
Argentina,1991,24000,USD (1),aqf,FAO global trade
Argentina,1992,8000,USD (1),aqf,FAO global trade
Argentina,1993,22000,USD (1),aqf,FAO global trade
Argentina,1994,2000,USD (1),aqf,FAO global trade
Argentina,1995,32000,USD (1),aqf,FAO global trade
Argentina,1996,30000,USD (1),aqf,FAO global trade
Argentina,1997,8000,USD (1),aqf,FAO global trade
Argentina,1998,10000,USD (1),aqf,FAO global trade
Argentina,1999,0,USD (1),aqf,FAO global trade
Argentina,2000,17000,USD (1),aqf,FAO global trade
Argentina,2001,25000,USD (1),aqf,FAO global trade
Argentina,2002,23000,USD (1),aqf,FAO global trade
Argentina,2003,38000,USD (1),aqf,FAO global trade
Argentina,2004,30000,USD (1),aqf,FAO global trade
Argentina,2005,50000,USD (1),aqf,FAO global trade
Argentina,2006,60000,USD (1),aqf,FAO global trade
Argentina,2007,61000,USD (1),aqf,FAO global trade
Argentina,2008,61000,USD (1),aqf,FAO global trade
Argentina,2009,56000,USD (1),aqf,FAO global trade
Argentina,2010,52000,USD (1),aqf,FAO global trade
Argentina,2011,39000,USD (1),aqf,FAO global trade
Argentina,2012,0,USD (1),aqf,FAO global trade
Argentina,2013,0,USD (1),aqf,FAO global trade
Argentina,2014,0,USD (1),aqf,FAO global trade
Argentina,2015,0,USD (1),aqf,FAO global trade
Argentina,2016,0,USD (1),aqf,FAO global trade
Argentina,2017,0,USD (1),aqf,FAO global trade
Argentina,2018,0,USD (1),aqf,FAO global trade
Argentina,2019,0,USD (1),aqf,FAO global trade
Argentina,2020,0,USD (1),aqf,FAO global trade
Argentina,2021,0,USD (1),aqf,FAO global trade
Armenia,1976,0,USD (1),aqf,FAO global trade
Armenia,1977,0,USD (1),aqf,FAO global trade
Armenia,1978,0,USD (1),aqf,FAO global trade
Armenia,1979,0,USD (1),aqf,FAO global trade
Armenia,1980,0,USD (1),aqf,FAO global trade
Armenia,1981,0,USD (1),aqf,FAO global trade
Armenia,1982,0,USD (1),aqf,FAO global trade
Armenia,1983,0,USD (1),aqf,FAO global trade
Armenia,1984,0,USD (1),aqf,FAO global trade
Armenia,1985,0,USD (1),aqf,FAO global trade
Armenia,1986,0,USD (1),aqf,FAO global trade
Armenia,1987,0,USD (1),aqf,FAO global trade
Armenia,1988,0,USD (1),aqf,FAO global trade
Armenia,1989,0,USD (1),aqf,FAO global trade
Armenia,1990,0,USD (1),aqf,FAO global trade
Armenia,1991,0,USD (1),aqf,FAO global trade
Armenia,1992,0,USD (1),aqf,FAO global trade
Armenia,1993,0,USD (1),aqf,FAO global trade
Armenia,1994,0,USD (1),aqf,FAO global trade
Armenia,1995,0,USD (1),aqf,FAO global trade
Armenia,1996,0,USD (1),aqf,FAO global trade
Armenia,1997,0,USD (1),aqf,FAO global trade
Armenia,1998,0,USD (1),aqf,FAO global trade
Armenia,1999,0,USD (1),aqf,FAO global trade
Armenia,2000,0,USD (1),aqf,FAO global trade
Armenia,2001,0,USD (1),aqf,FAO global trade
Armenia,2002,0,USD (1),aqf,FAO global trade
Armenia,2003,0,USD (1),aqf,FAO global trade
Armenia,2004,0,USD (1),aqf,FAO global trade
Armenia,2005,0,USD (1),aqf,FAO global trade
Armenia,2006,0,USD (1),aqf,FAO global trade
Armenia,2007,0,USD (1),aqf,FAO global trade
Armenia,2008,0,USD (1),aqf,FAO global trade
Armenia,2009,0,USD (1),aqf,FAO global trade
Armenia,2010,0,USD (1),aqf,FAO global trade
Armenia,2011,0,USD (1),aqf,FAO global trade
Armenia,2012,0,USD (1),aqf,FAO global trade
Armenia,2013,0,USD (1),aqf,FAO global trade
Armenia,2014,0,USD (1),aqf,FAO global trade
Armenia,2015,0,USD (1),aqf,FAO global trade
Armenia,2016,0,USD (1),aqf,FAO global trade
Armenia,2017,0,USD (1),aqf,FAO global trade
Armenia,2018,0,USD (1),aqf,FAO global trade
Armenia,2019,0,USD (1),aqf,FAO global trade
Armenia,2020,0,USD (1),aqf,FAO global trade
Armenia,2021,6689.4,USD (1),aqf,FAO global trade
Aruba,1976,0,USD (1),aqf,FAO global trade
Aruba,1977,0,USD (1),aqf,FAO global trade
Aruba,1978,0,USD (1),aqf,FAO global trade
Aruba,1979,0,USD (1),aqf,FAO global trade
Aruba,1980,0,USD (1),aqf,FAO global trade
Aruba,1981,0,USD (1),aqf,FAO global trade
Aruba,1982,0,USD (1),aqf,FAO global trade
Aruba,1983,0,USD (1),aqf,FAO global trade
Aruba,1984,0,USD (1),aqf,FAO global trade
Aruba,1985,0,USD (1),aqf,FAO global trade
Aruba,1986,0,USD (1),aqf,FAO global trade
Aruba,1987,0,USD (1),aqf,FAO global trade
Aruba,1988,0,USD (1),aqf,FAO global trade
Aruba,1989,0,USD (1),aqf,FAO global trade
Aruba,1990,0,USD (1),aqf,FAO global trade
Aruba,1991,0,USD (1),aqf,FAO global trade
Aruba,1992,0,USD (1),aqf,FAO global trade
Aruba,1993,0,USD (1),aqf,FAO global trade
Aruba,1994,0,USD (1),aqf,FAO global trade
Aruba,1995,0,USD (1),aqf,FAO global trade
Aruba,1996,0,USD (1),aqf,FAO global trade
Aruba,1997,0,USD (1),aqf,FAO global trade
Aruba,1998,0,USD (1),aqf,FAO global trade
Aruba,1999,0,USD (1),aqf,FAO global trade
Aruba,2000,0,USD (1),aqf,FAO global trade
Aruba,2001,0,USD (1),aqf,FAO global trade
Aruba,2002,0,USD (1),aqf,FAO global trade
Aruba,2003,0,USD (1),aqf,FAO global trade
Aruba,2004,0,USD (1),aqf,FAO global trade
Aruba,2005,0,USD (1),aqf,FAO global trade
Aruba,2006,0,USD (1),aqf,FAO global trade
Aruba,2007,0,USD (1),aqf,FAO global trade
Aruba,2008,0,USD (1),aqf,FAO global trade
Aruba,2009,0,USD (1),aqf,FAO global trade
Aruba,2010,0,USD (1),aqf,FAO global trade
Aruba,2011,0,USD (1),aqf,FAO global trade
Aruba,2012,0,USD (1),aqf,FAO global trade
Aruba,2013,100,USD (1),aqf,FAO global trade
Aruba,2014,0,USD (1),aqf,FAO global trade
Aruba,2015,0,USD (1),aqf,FAO global trade
Aruba,2016,225000,USD (1),aqf,FAO global trade
Aruba,2017,92000,USD (1),aqf,FAO global trade
Aruba,2018,2000,USD (1),aqf,FAO global trade
Aruba,2019,5625.0999999999995,USD (1),aqf,FAO global trade
Aruba,2020,0,USD (1),aqf,FAO global trade
Aruba,2021,0,USD (1),aqf,FAO global trade
Australia,1976,0,USD (1),aqf,FAO global trade
Australia,1977,0,USD (1),aqf,FAO global trade
Australia,1978,0,USD (1),aqf,FAO global trade
Australia,1979,0,USD (1),aqf,FAO global trade
Australia,1980,0,USD (1),aqf,FAO global trade
Australia,1981,0,USD (1),aqf,FAO global trade
Australia,1982,0,USD (1),aqf,FAO global trade
Australia,1983,0,USD (1),aqf,FAO global trade
Australia,1984,0,USD (1),aqf,FAO global trade
Australia,1985,0,USD (1),aqf,FAO global trade
Australia,1986,0,USD (1),aqf,FAO global trade
Australia,1987,0,USD (1),aqf,FAO global trade
Australia,1988,0,USD (1),aqf,FAO global trade
Australia,1989,357000,USD (1),aqf,FAO global trade
Australia,1990,304000,USD (1),aqf,FAO global trade
Australia,1991,469000,USD (1),aqf,FAO global trade
Australia,1992,567000,USD (1),aqf,FAO global trade
Australia,1993,893000,USD (1),aqf,FAO global trade
Australia,1994,1142000,USD (1),aqf,FAO global trade
Australia,1995,1480000,USD (1),aqf,FAO global trade
Australia,1996,3477000,USD (1),aqf,FAO global trade
Australia,1997,2087000,USD (1),aqf,FAO global trade
Australia,1998,782000,USD (1),aqf,FAO global trade
Australia,1999,1077000,USD (1),aqf,FAO global trade
Australia,2000,912000,USD (1),aqf,FAO global trade
Australia,2001,1372000,USD (1),aqf,FAO global trade
Australia,2002,955000,USD (1),aqf,FAO global trade
Australia,2003,1040000,USD (1),aqf,FAO global trade
Australia,2004,1425000,USD (1),aqf,FAO global trade
Australia,2005,1120000,USD (1),aqf,FAO global trade
Australia,2006,913000,USD (1),aqf,FAO global trade
Australia,2007,1554000,USD (1),aqf,FAO global trade
Australia,2008,2403000,USD (1),aqf,FAO global trade
Australia,2009,2448000,USD (1),aqf,FAO global trade
Australia,2010,2265000,USD (1),aqf,FAO global trade
Australia,2011,2308000,USD (1),aqf,FAO global trade
Australia,2012,2119000,USD (1),aqf,FAO global trade
Australia,2013,2001000,USD (1),aqf,FAO global trade
Australia,2014,1473000,USD (1),aqf,FAO global trade
Australia,2015,1130000,USD (1),aqf,FAO global trade
Australia,2016,1300000,USD (1),aqf,FAO global trade
