comname,sciname,ico_gl,ico_rgn_id,iucn_sid,subpop,cat_2024,year,assess_year,cat,cat_txt,cat_score,eval_yr,cat_2024_score
Minke whale,Balaenoptera acutorostrata,TRUE,NA,2474,NA,LC,1999,NA,NT,Lower Risk/near threatened,0.2,1996,0
Minke whale,Balaenoptera acutorostrata,TRUE,NA,2474,NA,LC,2000,NA,NT,Lower Risk/near threatened,0.2,1996,0
Minke whale,Balaenoptera acutorostrata,TRUE,NA,2474,NA,LC,2001,NA,NT,Lower Risk/near threatened,0.2,1996,0
Minke whale,Balaenoptera acutorostrata,TRUE,NA,2474,NA,LC,2002,NA,NT,Lower Risk/near threatened,0.2,1996,0
Minke whale,Balaenoptera acutorostrata,TRUE,NA,2474,NA,LC,2003,NA,NT,Lower Risk/near threatened,0.2,1996,0
Minke whale,Balaenoptera acutorostrata,TRUE,NA,2474,NA,LC,2004,NA,NT,Lower Risk/near threatened,0.2,1996,0
Minke whale,Balaenoptera acutorostrata,TRUE,NA,2474,NA,LC,2005,NA,NT,Lower Risk/near threatened,0.2,1996,0
Minke whale,Balaenoptera acutorostrata,TRUE,NA,2474,NA,LC,2006,NA,NT,Lower Risk/near threatened,0.2,1996,0
Minke whale,Balaenoptera acutorostrata,TRUE,NA,2474,NA,LC,2007,NA,NT,Lower Risk/near threatened,0.2,1996,0
Minke whale,Balaenoptera acutorostrata,TRUE,NA,2474,NA,LC,2008,2018,LC,Least Concern,0,2008,0
Minke whale,Balaenoptera acutorostrata,TRUE,NA,2474,NA,LC,2009,NA,LC,Least Concern,0,2008,0
Minke whale,Balaenoptera acutorostrata,TRUE,NA,2474,NA,LC,2010,NA,LC,Least Concern,0,2008,0
Minke whale,Balaenoptera acutorostrata,TRUE,NA,2474,NA,LC,2011,NA,LC,Least Concern,0,2008,0
Minke whale,Balaenoptera acutorostrata,TRUE,NA,2474,NA,LC,2012,NA,LC,Least Concern,0,2008,0
Minke whale,Balaenoptera acutorostrata,TRUE,NA,2474,NA,LC,2013,NA,LC,Least Concern,0,2008,0
Minke whale,Balaenoptera acutorostrata,TRUE,NA,2474,NA,LC,2014,NA,LC,Least Concern,0,2008,0
Minke whale,Balaenoptera acutorostrata,TRUE,NA,2474,NA,LC,2015,NA,LC,Least Concern,0,2008,0
Minke whale,Balaenoptera acutorostrata,TRUE,NA,2474,NA,LC,2016,NA,LC,Least Concern,0,2008,0
Minke whale,Balaenoptera acutorostrata,TRUE,NA,2474,NA,LC,2017,NA,LC,Least Concern,0,2008,0
Minke whale,Balaenoptera acutorostrata,TRUE,NA,2474,NA,LC,2018,2018,LC,Least Concern,0,2018,0
Minke whale,Balaenoptera acutorostrata,TRUE,NA,2474,NA,LC,2019,NA,LC,Least Concern,0,2018,0
Minke whale,Balaenoptera acutorostrata,TRUE,NA,2474,NA,LC,2020,NA,LC,Least Concern,0,2018,0
Minke whale,Balaenoptera acutorostrata,TRUE,NA,2474,NA,LC,2021,NA,LC,Least Concern,0,2018,0
Minke whale,Balaenoptera acutorostrata,TRUE,NA,2474,NA,LC,2022,NA,LC,Least Concern,0,2018,0
Minke whale,Balaenoptera acutorostrata,TRUE,NA,2474,NA,LC,2023,NA,LC,Least Concern,0,2018,0
Minke whale,Balaenoptera acutorostrata,TRUE,NA,2474,NA,LC,2024,NA,LC,Least Concern,0,2018,0
Sei whale,Balaenoptera borealis,TRUE,NA,2475,NA,EN,1982,NA,VU,Vulnerable,0.4,NA,0.6
Sei whale,Balaenoptera borealis,TRUE,NA,2475,NA,EN,1983,NA,VU,Vulnerable,0.4,NA,0.6
Sei whale,Balaenoptera borealis,TRUE,NA,2475,NA,EN,1984,NA,VU,Vulnerable,0.4,NA,0.6
Sei whale,Balaenoptera borealis,TRUE,NA,2475,NA,EN,1985,NA,VU,Vulnerable,0.4,NA,0.6
Sei whale,Balaenoptera borealis,TRUE,NA,2475,NA,EN,1986,NA,VU,Vulnerable,0.4,NA,0.6
Sei whale,Balaenoptera borealis,TRUE,NA,2475,NA,EN,1987,NA,VU,Vulnerable,0.4,NA,0.6
Sei whale,Balaenoptera borealis,TRUE,NA,2475,NA,EN,1988,NA,VU,Vulnerable,0.4,NA,0.6
Sei whale,Balaenoptera borealis,TRUE,NA,2475,NA,EN,1989,NA,VU,Vulnerable,0.4,NA,0.6
Sei whale,Balaenoptera borealis,TRUE,NA,2475,NA,EN,1990,NA,VU,Vulnerable,0.4,NA,0.6
Sei whale,Balaenoptera borealis,TRUE,NA,2475,NA,EN,1991,NA,VU,Vulnerable,0.4,NA,0.6
Sei whale,Balaenoptera borealis,TRUE,NA,2475,NA,EN,1992,NA,VU,Vulnerable,0.4,NA,0.6
Sei whale,Balaenoptera borealis,TRUE,NA,2475,NA,EN,1993,NA,VU,Vulnerable,0.4,NA,0.6
Sei whale,Balaenoptera borealis,TRUE,NA,2475,NA,EN,1994,2018,VU,Vulnerable,0.4,1994,0.6
Sei whale,Balaenoptera borealis,TRUE,NA,2475,NA,EN,1995,NA,VU,Vulnerable,0.4,1994,0.6
Sei whale,Balaenoptera borealis,TRUE,NA,2475,NA,EN,1996,2018,EN,Endangered,0.6,1996,0.6
Sei whale,Balaenoptera borealis,TRUE,NA,2475,NA,EN,1997,NA,EN,Endangered,0.6,1996,0.6
Sei whale,Balaenoptera borealis,TRUE,NA,2475,NA,EN,1998,NA,EN,Endangered,0.6,1996,0.6
Sei whale,Balaenoptera borealis,TRUE,NA,2475,NA,EN,1999,NA,EN,Endangered,0.6,1996,0.6
Sei whale,Balaenoptera borealis,TRUE,NA,2475,NA,EN,2000,NA,EN,Endangered,0.6,1996,0.6
Sei whale,Balaenoptera borealis,TRUE,NA,2475,NA,EN,2001,NA,EN,Endangered,0.6,1996,0.6
Sei whale,Balaenoptera borealis,TRUE,NA,2475,NA,EN,2002,NA,EN,Endangered,0.6,1996,0.6
Sei whale,Balaenoptera borealis,TRUE,NA,2475,NA,EN,2003,NA,EN,Endangered,0.6,1996,0.6
Sei whale,Balaenoptera borealis,TRUE,NA,2475,NA,EN,2004,NA,EN,Endangered,0.6,1996,0.6
Sei whale,Balaenoptera borealis,TRUE,NA,2475,NA,EN,2005,NA,EN,Endangered,0.6,1996,0.6
Sei whale,Balaenoptera borealis,TRUE,NA,2475,NA,EN,2006,NA,EN,Endangered,0.6,1996,0.6
Sei whale,Balaenoptera borealis,TRUE,NA,2475,NA,EN,2007,NA,EN,Endangered,0.6,1996,0.6
Sei whale,Balaenoptera borealis,TRUE,NA,2475,NA,EN,2008,2018,EN,Endangered,0.6,2008,0.6
Sei whale,Balaenoptera borealis,TRUE,NA,2475,NA,EN,2009,NA,EN,Endangered,0.6,2008,0.6
Sei whale,Balaenoptera borealis,TRUE,NA,2475,NA,EN,2010,NA,EN,Endangered,0.6,2008,0.6
Sei whale,Balaenoptera borealis,TRUE,NA,2475,NA,EN,2011,NA,EN,Endangered,0.6,2008,0.6
Sei whale,Balaenoptera borealis,TRUE,NA,2475,NA,EN,2012,NA,EN,Endangered,0.6,2008,0.6
Sei whale,Balaenoptera borealis,TRUE,NA,2475,NA,EN,2013,NA,EN,Endangered,0.6,2008,0.6
Sei whale,Balaenoptera borealis,TRUE,NA,2475,NA,EN,2014,NA,EN,Endangered,0.6,2008,0.6
Sei whale,Balaenoptera borealis,TRUE,NA,2475,NA,EN,2015,NA,EN,Endangered,0.6,2008,0.6
Sei whale,Balaenoptera borealis,TRUE,NA,2475,NA,EN,2016,NA,EN,Endangered,0.6,2008,0.6
Sei whale,Balaenoptera borealis,TRUE,NA,2475,NA,EN,2017,NA,EN,Endangered,0.6,2008,0.6
Sei whale,Balaenoptera borealis,TRUE,NA,2475,NA,EN,2018,2018,EN,Endangered,0.6,2018,0.6
Sei whale,Balaenoptera borealis,TRUE,NA,2475,NA,EN,2019,NA,EN,Endangered,0.6,2018,0.6
Sei whale,Balaenoptera borealis,TRUE,NA,2475,NA,EN,2020,NA,EN,Endangered,0.6,2018,0.6
Sei whale,Balaenoptera borealis,TRUE,NA,2475,NA,EN,2021,NA,EN,Endangered,0.6,2018,0.6
Sei whale,Balaenoptera borealis,TRUE,NA,2475,NA,EN,2022,NA,EN,Endangered,0.6,2018,0.6
Sei whale,Balaenoptera borealis,TRUE,NA,2475,NA,EN,2023,NA,EN,Endangered,0.6,2018,0.6
Sei whale,Balaenoptera borealis,TRUE,NA,2475,NA,EN,2024,NA,EN,Endangered,0.6,2018,0.6
Bryde's whale,Balaenoptera edeni,FALSE,16,2476,NA,LC,1982,NA,LC,Least Concern,0,NA,0
Bryde's whale,Balaenoptera edeni,FALSE,16,2476,NA,LC,1983,NA,LC,Least Concern,0,NA,0
Bryde's whale,Balaenoptera edeni,FALSE,16,2476,NA,LC,1984,NA,LC,Least Concern,0,NA,0
