English_name,ISSCAAP_Group,Taxonomic_Code,Scientific_Name,Family,Order or higher taxa,,,,,
NA,13,1.41004E+11,Typhlobelus ternetzi,TRICHOMYCTERIDAE,SILURIFORMES,,,,,
Candiru,13,1.41004E+11,Vandellia cirrhosa,TRICHOMYCTERIDAE,SILURIFORMES,,,,,
NA,13,1.41005E+11,Aspidoras albater,CALLICHTHYIDAE,SILURIFORMES,,,,,
Cascarudo,13,1.41005E+11,Callichthys callichthys,CALLICHTHYIDAE,SILURIFORMES,,,,,
Bronze corydoras,13,1.41005E+11,Corydoras aeneus,CALLICHTHYIDAE,SILURIFORMES,,,,,
NA,13,1.41005E+11,Corydoras britskii,CALLICHTHYIDAE,SILURIFORMES,,,,,
Peppered corydoras,13,1.41005E+11,Corydoras paleatus,CALLICHTHYIDAE,SILURIFORMES,,,,,
Porthole catfish,13,1.41005E+11,Dianema longibarbis,CALLICHTHYIDAE,SILURIFORMES,,,,,
Atipa,13,1.41005E+11,Hoplosternum littorale,CALLICHTHYIDAE,SILURIFORMES,,,,,
NA,13,1410051026XX,Hoplosternum spp,CALLICHTHYIDAE,SILURIFORMES,,,,,
NA,13,1.41005E+11,Lepthoplosternum altamazonicum,CALLICHTHYIDAE,SILURIFORMES,,,,,
Spotted hoplo,13,1.41005E+11,Megalechis picta,CALLICHTHYIDAE,SILURIFORMES,,,,,
NA,13,1.41005E+11,Megalechis thoracata,CALLICHTHYIDAE,SILURIFORMES,,,,,
NA,13,1.41006E+11,Acanthicus hystrix,LORICARIIDAE,SILURIFORMES,,,,,
NA,13,1.41006E+11,Ancistrus cirrhosus,LORICARIIDAE,SILURIFORMES,,,,,
NA,13,1410061014XX,Ancistrus spp,LORICARIIDAE,SILURIFORMES,,,,,
NA,13,1.41006E+11,Aphanotorulus unicolor,LORICARIIDAE,SILURIFORMES,,,,,
NA,13,1.41006E+11,Chaetostoma sovichthys,LORICARIIDAE,SILURIFORMES,,,,,
NA,13,1.41006E+11,Chaetostoma thomsoni,LORICARIIDAE,SILURIFORMES,,,,,
NA,13,1410061022XX,Chaetostoma spp,LORICARIIDAE,SILURIFORMES,,,,,
NA,13,1.41006E+11,Corymbophanes andersoni,LORICARIIDAE,SILURIFORMES,,,,,
NA,13,1.41006E+11,Cteniloricaria platystoma,LORICARIIDAE,SILURIFORMES,,,,,
NA,13,1.41006E+11,Delturus angulicauda,LORICARIIDAE,SILURIFORMES,,,,,
NA,13,1.41006E+11,Eurycheilichthys pantherinus,LORICARIIDAE,SILURIFORMES,,,,,
Whiptail catfish,13,1.41006E+11,Farlowella acus,LORICARIIDAE,SILURIFORMES,,,,,
NA,13,1.41006E+11,Guyanancistrus brevispinis,LORICARIIDAE,SILURIFORMES,,,,,
NA,13,1.41006E+11,Harttia gracilis,LORICARIIDAE,SILURIFORMES,,,,,
NA,13,1.41006E+11,Harttiella crassicauda,LORICARIIDAE,SILURIFORMES,,,,,
NA,13,1.41006E+11,Hemiancistrus landoni,LORICARIIDAE,SILURIFORMES,,,,,
NA,13,1.41006E+11,Hemipsilichthys gobio,LORICARIIDAE,SILURIFORMES,,,,,
NA,13,1.41006E+11,Hypoptopoma guianense,LORICARIIDAE,SILURIFORMES,,,,,
NA,13,1.41006E+11,Hypostomus affinis,LORICARIIDAE,SILURIFORMES,,,,,
NA,13,1.41006E+11,Hypostomus hondae,LORICARIIDAE,SILURIFORMES,,,,,
NA,13,1.41006E+11,Hypostomus niceforoi,LORICARIIDAE,SILURIFORMES,,,,,
NA,13,1.41006E+11,Hypostomus oculeus,LORICARIIDAE,SILURIFORMES,,,,,
Suckermouth catfish,13,1.41006E+11,Hypostomus plecostomus,LORICARIIDAE,SILURIFORMES,,,,,
Teta,13,1.41006E+11,Hypostomus robinii,LORICARIIDAE,SILURIFORMES,,,,,
Wara wara,13,1.41006E+11,Hypostomus ventromaculatus,LORICARIIDAE,SILURIFORMES,,,,,
Armored catfish,13,1.41006E+11,Hypostomus watwata,LORICARIIDAE,SILURIFORMES,,,,,
NA,13,1410061070XX,Hypostomus spp,LORICARIIDAE,SILURIFORMES,,,,,
NA,13,1.41006E+11,Isbrueckerichthys alipionis,LORICARIIDAE,SILURIFORMES,,,,,
Zucchini catfish,13,1.41006E+11,Isorineloricaria spinosissima,LORICARIIDAE,SILURIFORMES,,,,,
NA,13,1.41006E+11,Kronichthys heylandi,LORICARIIDAE,SILURIFORMES,,,,,
NA,13,1.41006E+11,Lamontichthys maracaibero,LORICARIIDAE,SILURIFORMES,,,,,
NA,13,1.41006E+11,Lithogenes villosus,LORICARIIDAE,SILURIFORMES,,,,,
NA,13,1.41006E+11,Loricaria cataphracta,LORICARIIDAE,SILURIFORMES,,,,,
NA,13,1.41006E+11,Loricariichthys anus,LORICARIIDAE,SILURIFORMES,,,,,
NA,13,1.41006E+11,Loricariichthys labialis,LORICARIIDAE,SILURIFORMES,,,,,
NA,13,1.41006E+11,Metaloricaria paucidens,LORICARIIDAE,SILURIFORMES,,,,,
NA,13,1.41006E+11,Neoplecostomus franciscoensis,LORICARIIDAE,SILURIFORMES,,,,,
Golden otocinclus,13,1.41006E+11,Otocinclus affinis,LORICARIIDAE,SILURIFORMES,,,,,
NA,13,1.41006E+11,Panaque cochliodon,LORICARIIDAE,SILURIFORMES,,,,,
Royal panaque,13,1.41006E+11,Panaque nigrolineatus,LORICARIIDAE,SILURIFORMES,,,,,
NA,13,1.41006E+11,Panaque titan,LORICARIIDAE,SILURIFORMES,,,,,
NA,13,1.41006E+11,Paralithoxus bovallii,LORICARIIDAE,SILURIFORMES,,,,,
NA,13,1.41006E+11,Pareiorhaphis cameroni,LORICARIIDAE,SILURIFORMES,,,,,
NA,13,1.41006E+11,Pareiorhina rudolphi,LORICARIIDAE,SILURIFORMES,,,,,
NA,13,1.41006E+11,Peckoltia braueri,LORICARIIDAE,SILURIFORMES,,,,,
NA,13,1.41006E+11,Pogonopoma parahybae,LORICARIIDAE,SILURIFORMES,,,,,
NA,13,1.41006E+11,Pogonopoma wertheimeri,LORICARIIDAE,SILURIFORMES,,,,,
NA,13,1.41006E+11,Pseudacanthicus fordii,LORICARIIDAE,SILURIFORMES,,,,,
NA,13,1.41006E+11,Pseudancistrus barbatus,LORICARIIDAE,SILURIFORMES,,,,,
NA,13,1.41006E+11,Pseudorinelepis genibarbis,LORICARIIDAE,SILURIFORMES,,,,,
Snow pleco,13,1.41006E+11,Pterygoplichthys ambrosettii,LORICARIIDAE,SILURIFORMES,,,,,
NA,13,1.41006E+11,Pterygoplichthys multiradiatus,LORICARIIDAE,SILURIFORMES,,,,,
Amazon sailfin catfish,13,1.41006E+11,Pterygoplichthys pardalis,LORICARIIDAE,SILURIFORMES,,,,,
NA,13,1.41006E+11,Pterygoplichthys undecimalis,LORICARIIDAE,SILURIFORMES,,,,,
NA,13,1.41006E+11,Rhinelepis aspera,LORICARIIDAE,SILURIFORMES,,,,,
NA,13,1.41006E+11,Rhinotocinclus britskii,LORICARIIDAE,SILURIFORMES,,,,,
NA,13,1.41006E+11,Rineloricaria fallax,LORICARIIDAE,SILURIFORMES,,,,,
NA,13,1.41006E+11,Spatuloricaria gymnogaster,LORICARIIDAE,SILURIFORMES,,,,,
NA,13,1.41006E+11,Spatuloricaria phelpsi,LORICARIIDAE,SILURIFORMES,,,,,
NA,13,1.41006E+11,Sturisomatichthys festivus,LORICARIIDAE,SILURIFORMES,,,,,
NA,13,1.41006E+11,Sturisomatichthys panamensis,LORICARIIDAE,SILURIFORMES,,,,,
NA,13,1.41008E+11,Astroblepus chotae,ASTROBLEPIDAE,SILURIFORMES,,,,,
NA,13,1.41008E+11,Astroblepus grixalvii,ASTROBLEPIDAE,SILURIFORMES,,,,,
Angler catfish,13,1.41009E+11,Chaca bankanensis,CHACIDAE,SILURIFORMES,,,,,
Squarehead catfish,13,1.41009E+11,Chaca chaca,CHACIDAE,SILURIFORMES,,,,,
NA,13,1.4101E+11,Anodontiglanis dahli,PLOTOSIDAE,SILURIFORMES,,,,,
Narrowfront tandan,13,1.4101E+11,Neosilurus ater,PLOTOSIDAE,SILURIFORMES,,,,,
Shortfin tandan,13,1.4101E+11,Neosilurus brevidorsalis,PLOTOSIDAE,SILURIFORMES,,,,,
Pale yellow tandan,13,1.4101E+11,Oloplotosus luteus,PLOTOSIDAE,SILURIFORMES,,,,,
Silver tandan,13,1.4101E+11,Porochilus argenteus,PLOTOSIDAE,SILURIFORMES,,,,,
Merauke tandan,13,1.4101E+11,Porochilus meraukensis,PLOTOSIDAE,SILURIFORMES,,,,,
Freshwater cobbler,13,1.4101E+11,Tandanus bostocki,PLOTOSIDAE,SILURIFORMES,,,,,
Tandan catfish,13,1.4101E+11,Tandanus tandanus,PLOTOSIDAE,SILURIFORMES,,,,,
NA,13,1.41011E+11,Ailia coila,AILIIDAE,SILURIFORMES,,,,,
NA,13,1.41011E+11,Ailiichthys punctata,AILIIDAE,SILURIFORMES,,,,,
NA,13,1.41011E+11,Clupisoma garua,AILIIDAE,SILURIFORMES,,,,,
NA,13,1.41011E+11,Eutropiichthys vacha,AILIIDAE,SILURIFORMES,,,,,
NA,13,1.41011E+11,Laides hexanema,AILIIDAE,SILURIFORMES,,,,,
NA,13,1.41011E+11,Proeutropiichthys taakree,AILIIDAE,SILURIFORMES,,,,,
Silond catfish,13,1.41011E+11,Silonia silondia,AILIIDAE,SILURIFORMES,,,,,
NA,13,1.41012E+11,Horabagrus brachysoma,HORABAGRIDAE,SILURIFORMES,,,,,
NA,13,1.41012E+11,Pachypterus acutirostris,HORABAGRIDAE,SILURIFORMES,,,,,
NA,13,1.41012E+11,Pachypterus atherinoides,HORABAGRIDAE,SILURIFORMES,,,,,
NA,13,1.41012E+11,Pachypterus khavalchor,HORABAGRIDAE,SILURIFORMES,,,,,
Blacklancer catfish,13,1.41013E+11,Bagrichthys hypselopterus,BAGRIDAE,SILURIFORMES,,,,,
False black lancer,13,1.41013E+11,Bagrichthys macropterus,BAGRIDAE,SILURIFORMES,,,,,
NA,13,1.41013E+11,Bagroides melapterus,BAGRIDAE,SILURIFORMES,,,,,
Bayad,13,1.41013E+11,Bagrus bajad,BAGRIDAE,SILURIFORMES,,,,,
Semutundu,13,1.41013E+11,Bagrus docmak,BAGRIDAE,SILURIFORMES,,,,,
NA,13,1.41013E+11,Bagrus meridionalis,BAGRIDAE,SILURIFORMES,,,,,
Naked catfishes,13,1410131022XX,Bagrus spp,BAGRIDAE,SILURIFORMES,,,,,
NA,13,1.41013E+11,Batasio batasio,BAGRIDAE,SILURIFORMES,,,,,
Korean stumpy bullhead,13,1.41013E+11,Coreobagrus brevicorpus,BAGRIDAE,SILURIFORMES,,,,,
NA,13,1.41013E+11,Coreobagrus ichikawai,BAGRIDAE,SILURIFORMES,,,,,
NA,13,1.41013E+11,Hemibagrus baramensis,BAGRIDAE,SILURIFORMES,,,,,
NA,13,1.41013E+11,Hemibagrus guttatus,BAGRIDAE,SILURIFORMES,,,,,
NA,13,1.41013E+11,Hemibagrus microphthalmus,BAGRIDAE,SILURIFORMES,,,,,
Asian redtail catfish,13,1.41013E+11,Hemibagrus nemurus,BAGRIDAE,SILURIFORMES,,,,,
NA,13,1.41013E+11,Hemibagrus wyckii,BAGRIDAE,SILURIFORMES,,,,,
NA,13,1.41013E+11,Hemibagrus wyckioides,BAGRIDAE,SILURIFORMES,,,,,
NA,13,1.41013E+11,Mystus atrifasciatus,BAGRIDAE,SILURIFORMES,,,,,
NA,13,1.41013E+11,Mystus bocourti,BAGRIDAE,SILURIFORMES,,,,,
Gangetic mystus,13,1.41013E+11,Mystus cavasius,BAGRIDAE,SILURIFORMES,,,,,
Long whiskers catfish,13,1.41013E+11,Mystus gulio,BAGRIDAE,SILURIFORMES,,,,,
NA,13,1.41013E+11,Mystus multiradiatus,BAGRIDAE,SILURIFORMES,,,,,
NA,13,1.41013E+11,Mystus mysticetus,BAGRIDAE,SILURIFORMES,,,,,
NA,13,1.41013E+11,Mystus nigriceps,BAGRIDAE,SILURIFORMES,,,,,
NA,13,1.41013E+11,Mystus rhegma,BAGRIDAE,SILURIFORMES,,,,,
NA,13,1.41013E+11,Mystus singaringan,BAGRIDAE,SILURIFORMES,,,,,
NA,13,1.41013E+11,Mystus tengara,BAGRIDAE,SILURIFORMES,,,,,
Striped dwarf catfish,13,1.41013E+11,Mystus vittatus,BAGRIDAE,SILURIFORMES,,,,,
NA,13,1410131038XX,Mystus spp,BAGRIDAE,SILURIFORMES,,,,,
Longtail catfish,13,1.41013E+11,Olyra burmanica,BAGRIDAE,SILURIFORMES,,,,,
NA,13,1.41013E+11,Olyra longicaudata,BAGRIDAE,SILURIFORMES,,,,,
Asian bumblebee catfish,13,1.41013E+11,Pseudomystus siamensis,BAGRIDAE,SILURIFORMES,,,,,
NA,13,1.41013E+11,Rama chandramara,BAGRIDAE,SILURIFORMES,,,,,
Rita,13,1.41013E+11,Rita rita,BAGRIDAE,SILURIFORMES,,,,,
Long-whiskered catfish,13,1.41013E+11,Sperata aor,BAGRIDAE,SILURIFORMES,,,,,
NA,13,1.41013E+11,Sperata seenghala,BAGRIDAE,SILURIFORMES,,,,,
NA,13,1.41013E+11,Tachysurus aurantiacus,BAGRIDAE,SILURIFORMES,,,,,
Chinese longsnout catfish,13,1.41013E+11,Tachysurus dumerili,BAGRIDAE,SILURIFORMES,,,,,
NA,13,1.41013E+11,Tachysurus koreanus,BAGRIDAE,SILURIFORMES,,,,,
Yellow catfish,13,1.41013E+11,Tachysurus sinensis,BAGRIDAE,SILURIFORMES,,,,,
Ussuri catfish,13,1.41013E+11,Tachysurus ussuriensis,BAGRIDAE,SILURIFORMES,,,,,
NA,13,1.41013E+11,Tachysurus vachellii,BAGRIDAE,SILURIFORMES,,,,,
Bagrid catsfih NEI,13,1410131XXXXX,Bagridae,BAGRIDAE,SILURIFORMES,,,,,
NA,13,1.41014E+11,Acrochordonichthys chamaeleon,AKYSIDAE,SILURIFORMES,,,,,
NA,13,1.41014E+11,Breitensteinia insignis,AKYSIDAE,SILURIFORMES,,,,,
NA,13,1.41014E+11,Parakysis anomalopteryx,AKYSIDAE,SILURIFORMES,,,,,
NA,13,1.41014E+11,Pseudobagarius fuscus,AKYSIDAE,SILURIFORMES,,,,,
NA,13,1.41015E+11,Amblyceps mangois,AMBLYCIPITIDAE,SILURIFORMES,,,,,
NA,13,1.41015E+11,Liobagrus reinii,AMBLYCIPITIDAE,SILURIFORMES,,,,,
Goonch,13,1.41016E+11,Bagarius bagarius,SISORIDAE,SILURIFORMES,,,,,
NA,13,1.41016E+11,Bagarius yarrelli,SISORIDAE,SILURIFORMES,,,,,
NA,13,1.41016E+11,Barbeuchiloglanis feae,SISORIDAE,SILURIFORMES,,,,,
NA,13,1.41016E+11,Chimarrichthys kishinouyei,SISORIDAE,SILURIFORMES,,,,,
NA,13,1.41016E+11,Conta conta,SISORIDAE,SILURIFORMES,,,,,
NA,13,1.41016E+11,Erethistes filamentosus,SISORIDAE,SILURIFORMES,,,,,
NA,13,1.41016E+11,Erethistes hara,SISORIDAE,SILURIFORMES,,,,,
NA,13,1.41016E+11,Erethistoides montana,SISORIDAE,SILURIFORMES,,,,,
NA,13,1.41016E+11,Exostoma berdmorei,SISORIDAE,SILURIFORMES,,,,,
NA,13,1.41016E+11,Gagata cenia,SISORIDAE,SILURIFORMES,,,,,
NA,13,1.41016E+11,Gagata gagata,SISORIDAE,SILURIFORMES,,,,,
NA,13,1.41016E+11,Gagata itchkeea,SISORIDAE,SILURIFORMES,,,,,
NA,13,1.41016E+11,Glyptosternon maculatum,SISORIDAE,SILURIFORMES,,,,,
NA,13,1.41016E+11,Glyptothorax alaknandi,SISORIDAE,SILURIFORMES,,,,,
NA,13,1.41016E+11,Myersglanis blythii,SISORIDAE,SILURIFORMES,,,,,
NA,13,1.41016E+11,Oreoglanis delacouri,SISORIDAE,SILURIFORMES,,,,,
NA,13,1.41016E+11,Pareuchiloglanis poilanei,SISORIDAE,SILURIFORMES,,,,,
NA,13,1.41016E+11,Pseudecheneis sulcata,SISORIDAE,SILURIFORMES,,,,,
NA,13,1.41016E+11,Pseudolaguvia tuberculata,SISORIDAE,SILURIFORMES,,,,,
NA,13,1.41016E+11,Sisor rabdophorus,SISORIDAE,SILURIFORMES,,,,,
NA,13,1.41017E+11,Helicophagus typus,PANGASIIDAE,SILURIFORMES,,,,,
Mekong giant catfish,13,1.41017E+11,Pangasianodon gigas,PANGASIIDAE,SILURIFORMES,,,,,
Striped catfish,13,1.41017E+11,Pangasianodon hypophthalmus,PANGASIIDAE,SILURIFORMES,,,,,
Basa catfish,13,1.41017E+11,Pangasius bocourti,PANGASIIDAE,SILURIFORMES,,,,,
NA,13,1.41017E+11,Pangasius djambal,PANGASIIDAE,SILURIFORMES,,,,,
Spot pangasius,13,1.41017E+11,Pangasius larnaudii,PANGASIIDAE,SILURIFORMES,,,,,
NA,13,1.41017E+11,Pangasius nasutus,PANGASIIDAE,SILURIFORMES,,,,,
Pangas catfish,13,1.41017E+11,Pangasius pangasius,PANGASIIDAE,SILURIFORMES,,,,,
NA,13,1.41017E+11,Pangasius polyuranodon,PANGASIIDAE,SILURIFORMES,,,,,
Giant pangasius,13,1.41017E+11,Pangasius sanitwongsei,PANGASIIDAE,SILURIFORMES,,,,,
Pangas catfishes NEI,13,1410171018XX,Pangasius spp,PANGASIIDAE,SILURIFORMES,,,,,
Shortbarbel pangasius,13,1.41017E+11,Pseudolais micronemus,PANGASIIDAE,SILURIFORMES,,,,,
NA,13,1.41018E+11,Belodontichthys dinema,SILURIDAE,SILURIFORMES,,,,,
NA,13,1.41018E+11,Ceratoglanis scleronema,SILURIDAE,SILURIFORMES,,,,,
NA,13,1.41018E+11,Hemisilurus heterorhynchus,SILURIDAE,SILURIFORMES,,,,,
Glass catfish,13,1.41018E+11,Kryptopterus bicirrhis,SILURIDAE,SILURIFORMES,,,,,
NA,13,1.41018E+11,Kryptopterus cryptopterus,SILURIDAE,SILURIFORMES,,,,,
Striped glass catfish,13,1.41018E+11,Kryptopterus macrocephalus,SILURIDAE,SILURIFORMES,,,,,
Glass catfishes,13,1410181022XX,Kryptopterus spp,SILURIDAE,SILURIFORMES,,,,,
Butter catfish,13,1.41018E+11,Ompok bimaculatus,SILURIDAE,SILURIFORMES,,,,,
NA,13,1.41018E+11,Ompok hypophthalmus,SILURIDAE,SILURIFORMES,,,,,
NA,13,1.41018E+11,Ompok miostoma,SILURIDAE,SILURIFORMES,,,,,
Pabdah catfish,13,1.41018E+11,Ompok pabda,SILURIDAE,SILURIFORMES,,,,,
NA,13,1.41018E+11,Phalacronotus apogon,SILURIDAE,SILURIFORMES,,,,,
NA,13,1.41018E+11,Phalacronotus bleekeri,SILURIDAE,SILURIFORMES,,,,,
NA,13,1.41018E+11,Phalacronotus micronemus,SILURIDAE,SILURIFORMES,,,,,
NA,13,1.41018E+11,Pinniwallago kanpurensis,SILURIDAE,SILURIFORMES,,,,,
NA,13,1.41018E+11,Pterocryptis gangelica,SILURIDAE,SILURIFORMES,,,,,
NA,13,1.41018E+11,Pterocryptis taytayensis,SILURIDAE,SILURIFORMES,,,,,
NA,13,1.41018E+11,Silurichthys citatus,SILURIDAE,SILURIFORMES,,,,,
Amur catfish,13,1.41018E+11,Silurus asotus,SILURIDAE,SILURIFORMES,,,,,
Lake Biwa catfish,13,1.41018E+11,Silurus biwaensis,SILURIDAE,SILURIFORMES,,,,,
Wels(=Som) catfish,13,1.41018E+11,Silurus glanis,SILURIDAE,SILURIFORMES,,,,,
Chinese large-mouth catfish,13,1.41018E+11,Silurus meridionalis,SILURIDAE,SILURIFORMES,,,,,
Soldatov's catfish,13,1.41018E+11,Silurus soldatovi,SILURIDAE,SILURIFORMES,,,,,
Tigris catfish,13,1.41018E+11,Silurus triostegus,SILURIDAE,SILURIFORMES,,,,,
Wallago,13,1.41018E+11,Wallago attu,SILURIDAE,SILURIFORMES,,,,,
NA,13,1410181050XX,Wallago spp,SILURIDAE,SILURIFORMES,,,,,
NA,13,1.4102E+11,Acanthobunocephalus nicoi,ASPREDINIDAE,SILURIFORMES,,,,,
NA,13,1.4102E+11,Amaralia hypsiura,ASPREDINIDAE,SILURIFORMES,,,,,
Sevenbarbed banjo,13,1.4102E+11,Aspredinichthys filamentosus,ASPREDINIDAE,SILURIFORMES,,,,,
Banjo catfish,13,1.4102E+11,Aspredo aspredo,ASPREDINIDAE,SILURIFORMES,,,,,
NA,13,1.4102E+11,Bunocephalus aleuropsis,ASPREDINIDAE,SILURIFORMES,,,,,
Camouflaged catfish,13,1.4102E+11,Bunocephalus amaurus,ASPREDINIDAE,SILURIFORMES,,,,,
Guitarrita,13,1.4102E+11,Bunocephalus coracoideus,ASPREDINIDAE,SILURIFORMES,,,,,
Ecuador banjo catfish,13,1.4102E+11,Bunocephalus knerii,ASPREDINIDAE,SILURIFORMES,,,,,
Gnarled catfish,13,1.4102E+11,Bunocephalus verrucosus,ASPREDINIDAE,SILURIFORMES,,,,,
NA,13,1.4102E+11,Dupouyichthys sapito,ASPREDINIDAE,SILURIFORMES,,,,,
NA,13,1.4102E+11,Ernstichthys anduzei,ASPREDINIDAE,SILURIFORMES,,,,,
NA,13,1.4102E+11,Hoplomyzon atrizona,ASPREDINIDAE,SILURIFORMES,,,,,
NA,13,1.4102E+11,Micromyzon akamai,ASPREDINIDAE,SILURIFORMES,,,,,
Banded banjo,13,1.4102E+11,Platystacus cotylephorus,ASPREDINIDAE,SILURIFORMES,,,,,
NA,13,1.4102E+11,Pterobunocephalus dolichurus,ASPREDINIDAE,SILURIFORMES,,,,,
NA,13,1.4102E+11,Xyliphius barbatus,ASPREDINIDAE,SILURIFORMES,,,,,
NA,13,1.41021E+11,Ageneiosus dentatus,AUCHENIPTERIDAE,SILURIFORMES,,,,,
Manduba,13,1.41021E+11,Ageneiosus inermis,AUCHENIPTERIDAE,SILURIFORMES,,,,,
Bottlenose catfish,13,1.41021E+11,Ageneiosus marmoratus,AUCHENIPTERIDAE,SILURIFORMES,,,,,
NA,13,1.41021E+11,Ageneiosus militaris,AUCHENIPTERIDAE,SILURIFORMES,,,,,
NA,13,1.41021E+11,Ageneiosus pardalis,AUCHENIPTERIDAE,SILURIFORMES,,,,,
NA,13,1.41021E+11,Ageneiosus polystictus,AUCHENIPTERIDAE,SILURIFORMES,,,,,
NA,13,1.41021E+11,Ageneiosus ucayalensis,AUCHENIPTERIDAE,SILURIFORMES,,,,,
NA,13,1.41021E+11,Ageneiosus valenciennesi,AUCHENIPTERIDAE,SILURIFORMES,,,,,
NA,13,1.41021E+11,Ageneiosus vittatus,AUCHENIPTERIDAE,SILURIFORMES,,,,,
NA,13,1.41021E+11,Asterophysus batrachus,AUCHENIPTERIDAE,SILURIFORMES,,,,,
NA,13,1.41021E+11,Auchenipterichthys longimanus,AUCHENIPTERIDAE,SILURIFORMES,,,,,
NA,13,1.41021E+11,Auchenipterus nigripinnis,AUCHENIPTERIDAE,SILURIFORMES,,,,,
NA,13,1.41021E+11,Centromochlus existimatus,AUCHENIPTERIDAE,SILURIFORMES,,,,,
NA,13,1.41021E+11,Duringlanis altae,AUCHENIPTERIDAE,SILURIFORMES,,,,,
NA,13,1.41021E+11,Entomocorus benjamini,AUCHENIPTERIDAE,SILURIFORMES,,,,,
NA,13,1.41021E+11,Epapterus blohmi,AUCHENIPTERIDAE,SILURIFORMES,,,,,
NA,13,1.41021E+11,Gelanoglanis stroudi,AUCHENIPTERIDAE,SILURIFORMES,,,,,
NA,13,1.41021E+11,Glanidium albescens,AUCHENIPTERIDAE,SILURIFORMES,,,,,
Jaguar catfish,13,1.41021E+11,Liosomadoras oncinus,AUCHENIPTERIDAE,SILURIFORMES,,,,,
Cocosoda catfish,13,1.41021E+11,Pseudauchenipterus nodosus,AUCHENIPTERIDAE,SILURIFORMES,,,,,
NA,13,1.41021E+11,Pseudepapterus cucuhyensis,AUCHENIPTERIDAE,SILURIFORMES,,,,,
NA,13,1.41021E+11,Pseudotatia parva,AUCHENIPTERIDAE,SILURIFORMES,,,,,
NA,13,1.41021E+11,Tetranematichthys quadrifilis,AUCHENIPTERIDAE,SILURIFORMES,,,,,
NA,13,1.41021E+11,Tocantinsia piresi,AUCHENIPTERIDAE,SILURIFORMES,,,,,
NA,13,1.41021E+11,Trachelyichthys decaradiatus,AUCHENIPTERIDAE,SILURIFORMES,,,,,
NA,13,1.41021E+11,Trachelyopterichthys anduzei,AUCHENIPTERIDAE,SILURIFORMES,,,,,
NA,13,1.41021E+11,Trachelyopterus albicrux,AUCHENIPTERIDAE,SILURIFORMES,,,,,
NA,13,1.41021E+11,Trachelyopterus coriaceus,AUCHENIPTERIDAE,SILURIFORMES,,,,,
NA,13,1.41021E+11,Trachelyopterus cratensis,AUCHENIPTERIDAE,SILURIFORMES,,,,,
NA,13,1.41021E+11,Trachelyopterus galeatus,AUCHENIPTERIDAE,SILURIFORMES,,,,,
NA,13,1.41021E+11,Trachelyopterus insignis,AUCHENIPTERIDAE,SILURIFORMES,,,,,
Singing catfish,13,1.41021E+11,Trachelyopterus striatulus,AUCHENIPTERIDAE,SILURIFORMES,,,,,
Black catfish,13,1.41021E+11,Trachycorystes trachycorystes,AUCHENIPTERIDAE,SILURIFORMES,,,,,
NA,13,1.41021E+11,Tympanopleura atronasus,AUCHENIPTERIDAE,SILURIFORMES,,,,,
NA,13,1.41021E+11,Tympanopleura brevis,AUCHENIPTERIDAE,SILURIFORMES,,,,,
NA,13,1.41021E+11,Tympanopleura rondoni,AUCHENIPTERIDAE,SILURIFORMES,,,,,
Talking catfish,13,1.41022E+11,Acanthodoras spinosissimus,DORADIDAE,SILURIFORMES,,,,,
Whitebarred catfish,13,1.41022E+11,Agamyxis pectinifrons,DORADIDAE,SILURIFORMES,,,,,
NA,13,1.41022E+11,Amblydoras gonzalezi,DORADIDAE,SILURIFORMES,,,,,
NA,13,1.41022E+11,Anadoras grypus,DORADIDAE,SILURIFORMES,,,,,
NA,13,1.41022E+11,Anduzedoras oxyrhynchus,DORADIDAE,SILURIFORMES,,,,,
NA,13,1.41022E+11,Astrodoras asterifrons,DORADIDAE,SILURIFORMES,,,,,
NA,13,1.41022E+11,Centrochir crocodili,DORADIDAE,SILURIFORMES,,,,,
NA,13,1.41022E+11,Centrodoras brachiatus,DORADIDAE,SILURIFORMES,,,,,
NA,13,1.41022E+11,Doraops zuloagai,DORADIDAE,SILURIFORMES,,,,,
NA,13,1.41022E+11,Franciscodoras marmoratus,DORADIDAE,SILURIFORMES,,,,,
NA,13,1.41022E+11,Hassar affinis,DORADIDAE,SILURIFORMES,,,,,
NA,13,1.41022E+11,Hemidoras boulengeri,DORADIDAE,SILURIFORMES,,,,,
NA,13,1.41022E+11,Hemidoras morrisi,DORADIDAE,SILURIFORMES,,,,,
NA,13,1.41022E+11,Hypodoras forficulatus,DORADIDAE,SILURIFORMES,,,,,
NA,13,1.41022E+11,Leptodoras acipenserinus,DORADIDAE,SILURIFORMES,,,,,
NA,13,1.41022E+11,Lithodoras dorsalis,DORADIDAE,SILURIFORMES,,,,,
NA,13,1.41022E+11,Megalodoras guayoensis,DORADIDAE,SILURIFORMES,,,,,
NA,13,1.41022E+11,Megalodoras uranoscopus,DORADIDAE,SILURIFORMES,,,,,
NA,13,1.41022E+11,Nemadoras humeralis,DORADIDAE,SILURIFORMES,,,,,
NA,13,1.41022E+11,Orinocodoras eigenmanni,DORADIDAE,SILURIFORMES,,,,,
NA,13,1.41022E+11,Oxydoras kneri,DORADIDAE,SILURIFORMES,,,,,
Ripsaw catfish,13,1.41022E+11,Oxydoras niger,DORADIDAE,SILURIFORMES,,,,,
NA,13,1.41022E+11,Physopyxis lyra,DORADIDAE,SILURIFORMES,,,,,
