report_title,published_date,sw_species,scientific_name,fao_species,fda_species,country,water_body,method,escapes_score,score,rec,species,rgn_id,rgn_name
"Seabass, European, gilthead bream and meagre (Mediterranean)",07/06/2020,Gilthead bream,Sparus aurata,Gilthead seabream,Gilthead Bream,Italy,NA,Marine net pen,2,4.42,Red,Gilthead seabream,184,Italy
"Seabass, European, gilthead bream and meagre (Mediterranean)",07/06/2020,Gilthead bream,Sparus aurata,Gilthead seabream,Gilthead Bream,Malta,NA,Marine net pen,2,4.42,Red,Gilthead seabream,68,Malta
"Seabass, European, gilthead bream and meagre (Mediterranean)",07/06/2020,Gilthead bream,Sparus aurata,Gilthead seabream,Gilthead Bream,Portugal,NA,Marine net pen,2,4.42,Red,Gilthead seabream,183,Portugal
"Seabass, European, gilthead bream and meagre (Mediterranean)",07/06/2020,Gilthead bream,Sparus aurata,Gilthead seabream,Gilthead Bream,Spain,NA,Marine net pen,2,4.42,Red,Gilthead seabream,182,Spain
"Seabass, European, gilthead bream and meagre (Mediterranean)",07/06/2020,Meagre,Argyrosomus regius,Meagre,Meagre,Croatia,NA,Marine net pen,2,4.29,Red,Meagre,187,Croatia
"Seabass, European, gilthead bream and meagre (Mediterranean)",07/06/2020,Meagre,Argyrosomus regius,Meagre,Meagre,Cyprus,NA,Marine net pen,2,4.29,Red,Meagre,81,Cyprus
"Seabass, European, gilthead bream and meagre (Mediterranean)",07/06/2020,Meagre,Argyrosomus regius,Meagre,Meagre,France,NA,Marine net pen,2,4.29,Red,Meagre,179,France
"Seabass, European, gilthead bream and meagre (Mediterranean)",07/06/2020,Meagre,Argyrosomus regius,Meagre,Meagre,Greece,NA,Marine net pen,2,4.29,Red,Meagre,80,Greece
"Seabass, European, gilthead bream and meagre (Mediterranean)",07/06/2020,Meagre,Argyrosomus regius,Meagre,Meagre,Italy,NA,Marine net pen,2,4.29,Red,Meagre,184,Italy
"Seabass, European, gilthead bream and meagre (Mediterranean)",07/06/2020,Meagre,Argyrosomus regius,Meagre,Meagre,Spain,NA,Marine net pen,2,4.29,Red,Meagre,182,Spain
Scallops (Global),03/01/2021,Scallops,Argopecten spp.,NA,NA,Worldwide,NA,Bottom culture,4,6.71,Green,Scallops,NA,NA
Scallops (Global),03/01/2021,Scallops,Argopecten spp.,NA,NA,Worldwide,NA,Off-bottom culture,4,6.71,Green,Scallops,NA,NA
Seaweed (Global),03/01/2021,Seaweed,"Porphyra spp. or Pyropia spp., Saccharina japonica, Undaria pinnatifida, Gracilaria spp., Saccharina latissima, Laminaria digitata, Alaria esculenta, Sargassum fusiforme, Eisenia bicyclis, Monostroma spp. and Ulva spp., Eucheuma denticulatum, Kappaphycus",NA,Seaweed,Worldwide,NA,Off-bottom culture,4,6.72,Green,Seaweed,NA,NA
Abalone (Global),08/01/2022,Abalone,Haliotis spp.,Abalones,NA,Worldwide,NA,Outdoor flowthrough tank | Indoor flowthrough tank | Off-bottom culture | Enclosed bottom culture,4,6.95,Green,Abalones,NA,NA
Abalone (Global),08/01/2022,Abalone,Haliotis spp.,Abalones,NA,Worldwide,NA,Open bottom culture,4,7.13,Green,Abalones,NA,NA
"Tuna, bluefin (Mediterranean)",04/05/2021,Atlantic bluefin tuna,Thunnus thynnus,Atlantic Bluefin tuna,Atlantic Bluefin Tuna,NA,Mediterranean Sea,Marine net pen,10,4.42,Red,Atlantic Bluefin tuna,NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,Almaco jack,Seriola rivoliana,Longfin yellowtail,Almaco Jack,Worldwide,NA,Indoor recirculating tanks (with wastewater treatment),10,6.91,Green,Longfin yellowtail,NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,Almaco jack,Seriola rivoliana,Longfin yellowtail,Almaco Jack,Worldwide,NA,Indoor recirculating tanks (without wastewater treatment),10,6.63,Yellow,Longfin yellowtail,NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,Buri amberjack,Seriola quinqueradiata,Japanese amberjack,Buri,Worldwide,NA,Indoor recirculating tanks (with wastewater treatment),10,6.91,Green,Japanese amberjack,NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,Buri amberjack,Seriola quinqueradiata,Japanese amberjack,Buri,Worldwide,NA,Indoor recirculating tanks (without wastewater treatment),10,6.63,Yellow,Japanese amberjack,NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,Greater amberjack,Seriola dumerili,Greater amberjack,Greater Amberjack,Worldwide,NA,Indoor recirculating tanks (with wastewater treatment),10,6.91,Green,Greater amberjack,NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,Greater amberjack,Seriola dumerili,Greater amberjack,Greater Amberjack,Worldwide,NA,Indoor recirculating tanks (without wastewater treatment),10,6.63,Yellow,Greater amberjack,NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,Yellowtail amberjack,Seriola lalandi,Yellowtail amberjack,Yellowtail,Worldwide,NA,Indoor recirculating tanks (with wastewater treatment),10,6.91,Green,Yellowtail amberjack,NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,Yellowtail amberjack,Seriola lalandi,Yellowtail amberjack,Yellowtail,Worldwide,NA,Indoor recirculating tanks (without wastewater treatment),10,6.63,Yellow,Yellowtail amberjack,NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,Arctic char,Salvelinus alpinus,Arctic char,Arctic Char,Worldwide,NA,Indoor recirculating tanks (with wastewater treatment),10,6.91,Green,Arctic char,NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,Arctic char,Salvelinus alpinus,Arctic char,Arctic Char,Worldwide,NA,Indoor recirculating tanks (without wastewater treatment),10,6.63,Yellow,Arctic char,NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,Striped bass,Morone saxatilis,Striped bass,Striped Bass,Worldwide,NA,Indoor recirculating tanks (with wastewater treatment),10,6.91,Green,Striped bass,NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,Striped bass,Morone saxatilis,Striped bass,Striped Bass,Worldwide,NA,Indoor recirculating tanks (without wastewater treatment),10,6.63,Yellow,Striped bass,NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,Sunshine bass,Morone chrysops x M. saxatilis,"Striped bass, hybrid",Sunshine Bass,Worldwide,NA,Indoor recirculating tanks (with wastewater treatment),10,6.91,Green,"Striped bass, hybrid",NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,Sunshine bass,Morone chrysops x M. saxatilis,"Striped bass, hybrid",Sunshine Bass,Worldwide,NA,Indoor recirculating tanks (without wastewater treatment),10,6.63,Yellow,"Striped bass, hybrid",NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,Gilthead bream,Sparus aurata,Gilthead seabream,Gilthead Bream,Worldwide,NA,Indoor recirculating tanks (with wastewater treatment),10,6.91,Green,Gilthead seabream,NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,Gilthead bream,Sparus aurata,Gilthead seabream,Gilthead Bream,Worldwide,NA,Indoor recirculating tanks (without wastewater treatment),10,6.63,Yellow,Gilthead seabream,NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,Channel catfish,Ictalurus punctatus,Channel catfish,Channel Catfish,Worldwide,NA,Indoor recirculating tanks (with wastewater treatment),10,6.91,Green,Channel catfish,NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,Channel catfish,Ictalurus punctatus,Channel catfish,Channel Catfish,Worldwide,NA,Indoor recirculating tanks (without wastewater treatment),10,6.63,Yellow,Channel catfish,NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,Wels catfish,Silurus glanis,Wels(=Som) catfish,Wels Catfish,Worldwide,NA,Indoor recirculating tanks (with wastewater treatment),10,6.91,Green,Wels(=Som) catfish,NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,Wels catfish,Silurus glanis,Wels(=Som) catfish,Wels Catfish,Worldwide,NA,Indoor recirculating tanks (without wastewater treatment),10,6.63,Yellow,Wels(=Som) catfish,NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,Sharptooth catfish,Clarias gariepinus,NorthAfrican catfish,Sharptooth Catfish,Worldwide,NA,Indoor recirculating tanks (with wastewater treatment),10,6.91,Green,NorthAfrican catfish,NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,Sharptooth catfish,Clarias gariepinus,NorthAfrican catfish,Sharptooth Catfish,Worldwide,NA,Indoor recirculating tanks (without wastewater treatment),10,6.63,Yellow,NorthAfrican catfish,NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,Cobia,Rachycentron canadum,Cobia,Cobia,Worldwide,NA,Indoor recirculating tanks (with wastewater treatment),10,6.91,Green,Cobia,NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,Cobia,Rachycentron canadum,Cobia,Cobia,Worldwide,NA,Indoor recirculating tanks (without wastewater treatment),10,6.63,Yellow,Cobia,NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,Atlantic cod,Gadus morhua,Atlantic cod,Atlantic Cod,Worldwide,NA,Indoor recirculating tanks (with wastewater treatment),10,6.91,Green,Atlantic cod,NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,Atlantic cod,Gadus morhua,Atlantic cod,Atlantic Cod,Worldwide,NA,Indoor recirculating tanks (without wastewater treatment),10,6.63,Yellow,Atlantic cod,NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,American eel,Anguilla rostrata,American eel,American Eel,Worldwide,NA,Indoor recirculating tanks (with wastewater treatment),10,5.48,Yellow,American eel,NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,American eel,Anguilla rostrata,American eel,American Eel,Worldwide,NA,Indoor recirculating tanks (without wastewater treatment),10,5.19,Yellow,American eel,NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,European eel,Anguilla anguilla,European eel,European Eel,Worldwide,NA,Indoor recirculating tanks (with wastewater treatment),10,5.48,Red,European eel,NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,European eel,Anguilla anguilla,European eel,European Eel,Worldwide,NA,Indoor recirculating tanks (without wastewater treatment),10,5.19,Red,European eel,NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,Japanese eel,Anguilla japonica,Japanese eel,Japanese Eel,Worldwide,NA,Indoor recirculating tanks (with wastewater treatment),10,5.48,Red,Japanese eel,NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,Japanese eel,Anguilla japonica,Japanese eel,Japanese Eel,Worldwide,NA,Indoor recirculating tanks (without wastewater treatment),10,5.19,Red,Japanese eel,NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,Atlantic halibut,Hippoglossus hippoglossus,Atlantic halibut,Atlantic Halibut,Worldwide,NA,Indoor recirculating tanks (with wastewater treatment),10,6.91,Green,Atlantic halibut,NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,Atlantic halibut,Hippoglossus hippoglossus,Atlantic halibut,Atlantic Halibut,Worldwide,NA,Indoor recirculating tanks (without wastewater treatment),10,6.63,Yellow,Atlantic halibut,NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,Meagre,Argyrosomus regius,Meagre,Meagre,Worldwide,NA,Indoor recirculating tanks (with wastewater treatment),10,6.91,Green,Meagre,NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,Meagre,Argyrosomus regius,Meagre,Meagre,Worldwide,NA,Indoor recirculating tanks (without wastewater treatment),10,6.63,Yellow,Meagre,NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,Giant perch,Lates calcarifer,Barramundi(=Giant seaperch),Giant Perch,Worldwide,NA,Indoor recirculating tanks (with wastewater treatment),10,6.91,Green,Barramundi(=Giant seaperch),NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,Giant perch,Lates calcarifer,Barramundi(=Giant seaperch),Giant Perch,Worldwide,NA,Indoor recirculating tanks (without wastewater treatment),10,6.63,Yellow,Barramundi(=Giant seaperch),NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,Yellow perch,Perca flavescens,American yellow perch,Yellow Perch,Worldwide,NA,Indoor recirculating tanks (with wastewater treatment),10,6.91,Green,American yellow perch,NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,Yellow perch,Perca flavescens,American yellow perch,Yellow Perch,Worldwide,NA,Indoor recirculating tanks (without wastewater treatment),10,6.63,Yellow,American yellow perch,NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,Florida pompano,Trachinotus carolinus,Florida pompano,Florida Pompano,Worldwide,NA,Indoor recirculating tanks (with wastewater treatment),10,6.91,Green,Florida pompano,NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,Florida pompano,Trachinotus carolinus,Florida pompano,Florida Pompano,Worldwide,NA,Indoor recirculating tanks (without wastewater treatment),10,6.63,Yellow,Florida pompano,NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,Snubnose pompano,Trachinotus blochii,Snubnose pompano,Snubnose Pompano,Worldwide,NA,Indoor recirculating tanks (with wastewater treatment),10,6.91,Green,Snubnose pompano,NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,Snubnose pompano,Trachinotus blochii,Snubnose pompano,Snubnose Pompano,Worldwide,NA,Indoor recirculating tanks (without wastewater treatment),10,6.63,Yellow,Snubnose pompano,NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,Atlantic salmon,Salmo salar,Atlantic salmon,Atlantic Salmon,Worldwide,NA,Indoor recirculating tanks (with wastewater treatment),10,6.91,Green,Atlantic salmon,NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,Atlantic salmon,Salmo salar,Atlantic salmon,Atlantic Salmon,Worldwide,NA,Indoor recirculating tanks (without wastewater treatment),10,6.63,Yellow,Atlantic salmon,NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,Chinook salmon,Oncorhynchus tshawytscha,Chinook(=Spring=King) salmon,Chinook Salmon,Worldwide,NA,Indoor recirculating tanks (with wastewater treatment),10,6.91,Green,Chinook(=Spring=King) salmon,NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,Chinook salmon,Oncorhynchus tshawytscha,Chinook(=Spring=King) salmon,Chinook Salmon,Worldwide,NA,Indoor recirculating tanks (without wastewater treatment),10,6.63,Yellow,Chinook(=Spring=King) salmon,NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,Coho salmon,Oncorhynchus kisutch,Coho(=Silver) salmon,Coho Salmon,Worldwide,NA,Indoor recirculating tanks (with wastewater treatment),10,6.91,Green,Coho(=Silver) salmon,NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,Coho salmon,Oncorhynchus kisutch,Coho(=Silver) salmon,Coho Salmon,Worldwide,NA,Indoor recirculating tanks (without wastewater treatment),10,6.63,Yellow,Coho(=Silver) salmon,NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,Sockeye salmon,Oncorhynchus nerka,Sockeye(=Red) salmon,Sockeye Salmon,Worldwide,NA,Indoor recirculating tanks (with wastewater treatment),10,6.91,Green,Sockeye(=Red) salmon,NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,Sockeye salmon,Oncorhynchus nerka,Sockeye(=Red) salmon,Sockeye Salmon,Worldwide,NA,Indoor recirculating tanks (without wastewater treatment),10,6.63,Yellow,Sockeye(=Red) salmon,NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,Black sea bass,Centropristis striata,Black seabass,Black Sea Bass,Worldwide,NA,Indoor recirculating tanks (with wastewater treatment),10,6.91,Green,Black seabass,NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,Black sea bass,Centropristis striata,Black seabass,Black Sea Bass,Worldwide,NA,Indoor recirculating tanks (without wastewater treatment),10,6.63,Yellow,Black seabass,NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,European sea bass,Dicentrarchus labrax,European seabass,European Sea Bass,Worldwide,NA,Indoor recirculating tanks (with wastewater treatment),10,6.91,Green,European seabass,NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,European sea bass,Dicentrarchus labrax,European seabass,European Sea Bass,Worldwide,NA,Indoor recirculating tanks (without wastewater treatment),10,6.63,Yellow,European seabass,NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,Giant freshwater prawn,Macrobrachium rosenbergii,Giant river prawn,Giant Freshwater Prawn,Worldwide,NA,Indoor recirculating tanks (with wastewater treatment),10,6.91,Green,Giant river prawn,NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,Giant tiger prawn,Penaeus monodon,Giant tiger prawn,Giant Tiger Prawn,Worldwide,NA,Indoor recirculating tanks (without wastewater treatment),10,6.63,Yellow,Giant tiger prawn,NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,Giant tiger prawn,Penaeus monodon,Giant tiger prawn,Giant Tiger Prawn,Worldwide,NA,Indoor recirculating tanks (with wastewater treatment),10,6.91,Green,Giant tiger prawn,NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,Giant freshwater prawn,Macrobrachium rosenbergii,Giant river prawn,Giant Freshwater Prawn,Worldwide,NA,Indoor recirculating tanks (without wastewater treatment),10,6.63,Yellow,Giant river prawn,NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,Whiteleg shrimp,Litopenaeus vannamei,NA,Whiteleg Shrimp,Worldwide,NA,Indoor recirculating tanks (with wastewater treatment),10,6.91,Green,Whiteleg shrimp,NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,Whiteleg shrimp,Litopenaeus vannamei,NA,Whiteleg Shrimp,Worldwide,NA,Indoor recirculating tanks (without wastewater treatment),10,6.63,Yellow,Whiteleg shrimp,NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,Butter sole,Isopsetta isolepis,Butter sole,Butter Sole,Worldwide,NA,Indoor recirculating tanks (with wastewater treatment),10,6.91,Green,Butter sole,NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,Butter sole,Isopsetta isolepis,Butter sole,Butter Sole,Worldwide,NA,Indoor recirculating tanks (without wastewater treatment),10,6.63,Yellow,Butter sole,NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,Dover sole,Microstomus pacificus,Dover sole,Dover Sole,Worldwide,NA,Indoor recirculating tanks (with wastewater treatment),10,6.91,Green,Dover sole,NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,Dover sole,Microstomus pacificus,Dover sole,Dover Sole,Worldwide,NA,Indoor recirculating tanks (without wastewater treatment),10,6.63,Yellow,Dover sole,NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,European Dover sole,Solea solea,Common sole,European Dover Sole,Worldwide,NA,Indoor recirculating tanks (with wastewater treatment),10,6.91,Green,Common sole,NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,European Dover sole,Solea solea,Common sole,European Dover Sole,Worldwide,NA,Indoor recirculating tanks (without wastewater treatment),10,6.63,Yellow,Common sole,NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,English sole,Parophrys vetulus,NA,English Sole,Worldwide,NA,Indoor recirculating tanks (with wastewater treatment),10,6.91,Green,English sole,NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,English sole,Parophrys vetulus,NA,English Sole,Worldwide,NA,Indoor recirculating tanks (without wastewater treatment),10,6.63,Yellow,English sole,NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,Northern rock sole,Lepidopsetta polyxystra,Northern rock sole,Northern Rock Sole,Worldwide,NA,Indoor recirculating tanks (with wastewater treatment),10,6.91,Green,Northern rock sole,NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,Northern rock sole,Lepidopsetta polyxystra,Northern rock sole,Northern Rock Sole,Worldwide,NA,Indoor recirculating tanks (without wastewater treatment),10,6.63,Yellow,Northern rock sole,NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,Petrale sole,Eopsetta jordani,Petrale sole,Petrale Sole,Worldwide,NA,Indoor recirculating tanks (with wastewater treatment),10,6.91,Green,Petrale sole,NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,Petrale sole,Eopsetta jordani,Petrale sole,Petrale Sole,Worldwide,NA,Indoor recirculating tanks (without wastewater treatment),10,6.63,Yellow,Petrale sole,NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,Rex sole,Glyptocephalus zachirus,Rex sole,Rex Sole,Worldwide,NA,Indoor recirculating tanks (with wastewater treatment),10,6.91,Green,Rex sole,NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,Rex sole,Glyptocephalus zachirus,Rex sole,Rex Sole,Worldwide,NA,Indoor recirculating tanks (without wastewater treatment),10,6.63,Yellow,Rex sole,NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,Southern rock sole,Lepidopsetta bilineata,Rock sole,Southern Rock Sole,Worldwide,NA,Indoor recirculating tanks (with wastewater treatment),10,6.91,Green,Rock sole,NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,Southern rock sole,Lepidopsetta bilineata,Rock sole,Southern Rock Sole,Worldwide,NA,Indoor recirculating tanks (without wastewater treatment),10,6.63,Yellow,Rock sole,NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,Yellowfin sole,Limanda aspera,Yellowfin sole,Yellowfin Sole,Worldwide,NA,Indoor recirculating tanks (with wastewater treatment),10,6.91,Green,Yellowfin sole,NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,Yellowfin sole,Limanda aspera,Yellowfin sole,Yellowfin Sole,Worldwide,NA,Indoor recirculating tanks (without wastewater treatment),10,6.63,Yellow,Yellowfin sole,NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,Atlantic sturgeon,Acipenser oxyrinchus,Atlantic sturgeon,Atlantic Sturgeon,Worldwide,NA,Indoor recirculating tanks (with wastewater treatment),10,6.91,Green,Atlantic sturgeon,NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,Beluga,Huso huso,Beluga,Beluga,Worldwide,NA,Indoor recirculating tanks (with wastewater treatment),10,6.91,Green,Beluga,NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,Beluga,Huso huso,Beluga,Beluga,Worldwide,NA,Indoor recirculating tanks (without wastewater treatment),10,6.63,Yellow,Beluga,NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,Russian sturgeon,Acipenser gueldenstaedtii,Danube sturgeon(=Osetr),Russian Sturgeon,Worldwide,NA,Indoor recirculating tanks (with wastewater treatment),10,6.91,Green,Danube sturgeon(=Osetr),NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,Russian sturgeon,Acipenser gueldenstaedtii,Danube sturgeon(=Osetr),Russian Sturgeon,Worldwide,NA,Indoor recirculating tanks (without wastewater treatment),10,6.63,Yellow,Danube sturgeon(=Osetr),NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,Siberian sturgeon,Acipenser baerii,Siberian sturgeon,Siberian Sturgeon,Worldwide,NA,Indoor recirculating tanks (without wastewater treatment),10,6.63,Yellow,Siberian sturgeon,NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,Stellate sturgeon,Acipenser stellatus,Starry sturgeon,Stellate Sturgeon,Worldwide,NA,Indoor recirculating tanks (with wastewater treatment),10,6.91,Green,Starry sturgeon,NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,Sterlet,Acipenser ruthenus,Sterlet sturgeon,Sterlet,Worldwide,NA,Indoor recirculating tanks (with wastewater treatment),10,6.91,Green,Sterlet sturgeon,NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,Sterlet,Acipenser ruthenus,Sterlet sturgeon,Sterlet,Worldwide,NA,Indoor recirculating tanks (without wastewater treatment),10,6.63,Yellow,Sterlet sturgeon,NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,White sturgeon,Acipenser transmontanus,White sturgeon,White Sturgeon,Worldwide,NA,Indoor recirculating tanks (with wastewater treatment),10,6.91,Green,White sturgeon,NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,White sturgeon,Acipenser transmontanus,White sturgeon,White Sturgeon,Worldwide,NA,Indoor recirculating tanks (without wastewater treatment),10,6.63,Yellow,White sturgeon,NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,Mozambique tilapia,Oreochromis mossambicus,Mozambique tilapia,Mozambique Tilapia,Worldwide,NA,Indoor recirculating tanks (with wastewater treatment),10,6.91,Green,Mozambique tilapia,NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,Mozambique tilapia,Oreochromis mossambicus,Mozambique tilapia,Mozambique Tilapia,Worldwide,NA,Indoor recirculating tanks (without wastewater treatment),10,6.63,Yellow,Mozambique tilapia,NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,Nile tilapia,Oreochromis niloticus,Nile tilapia,Nile Tilapia,Worldwide,NA,Indoor recirculating tanks (with wastewater treatment),10,6.91,Green,Nile tilapia,NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,Nile tilapia,Oreochromis niloticus,Nile tilapia,Nile Tilapia,Worldwide,NA,Indoor recirculating tanks (without wastewater treatment),10,6.63,Yellow,Nile tilapia,NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,Hybrid red tilapia,Oreochromis mossambicus x Oreochromis niloticus,Hybrid red tilapia,NA,Worldwide,NA,Indoor recirculating tanks (with wastewater treatment),10,6.91,Green,Hybrid red tilapia,NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,Hybrid red tilapia,Oreochromis mossambicus x Oreochromis niloticus,Hybrid red tilapia,NA,Worldwide,NA,Indoor recirculating tanks (without wastewater treatment),10,6.63,Yellow,Hybrid red tilapia,NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,Rainbow trout,Oncorhynchus mykiss,Rainbow trout,Rainbow Trout,Worldwide,NA,Indoor recirculating tanks (with wastewater treatment),10,6.91,Green,Rainbow trout,NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,Rainbow trout,Oncorhynchus mykiss,Rainbow trout,Rainbow Trout,Worldwide,NA,Indoor recirculating tanks (without wastewater treatment),10,6.63,Yellow,Rainbow trout,NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,Turbot,Scophthalmus maximus,Turbot,Turbot,Worldwide,NA,Indoor recirculating tanks (with wastewater treatment),10,6.91,Green,Turbot,NA,NA
All species (Global Recirculating Aquaculture Systems),03/02/2020,Turbot,Scophthalmus maximus,Turbot,Turbot,Worldwide,NA,Indoor recirculating tanks (without wastewater treatment),10,6.63,Yellow,Turbot,NA,NA
Mussels (Global),08/03/2020,Mussels,"Mytilus spp., Perna spp.",NA,Mussels,Worldwide,NA,Off-bottom culture,4,6.68,Green,Mussels,NA,NA
Mussels (Global),08/03/2020,Mussels,"Mytilus spp., Perna spp.",NA,Mussels,Worldwide,NA,Bottom culture,4,6.68,Green,Mussels,NA,NA
Oysters (Global),10/05/2020,Oysters,"Crassostrea spp., Ostrea spp., Saccostrea spp.",NA,NA,Worldwide,NA,Bottom culture,4,6.69,Green,Oysters,NA,NA
Oysters (Global),10/05/2020,Oysters,"Crassostrea spp., Ostrea spp., Saccostrea spp.",NA,NA,Worldwide,NA,Off-bottom culture,4,6.69,Green,Oysters,NA,NA
Clams (Global),04/03/2023,Cockles,"Acanthocardia aculeata, Acanthocardia tuberculate, Arca granosa, Austrovenus stutchburyi, Cerastoderma edule, Clinocardium californiense, Clinocardium nuttallii, Dinocardium robustum, Glycymeris pilosa, Serripes groenlandicus",NA,NA,Worldwide,NA,Bottom culture,4,6.82,Green,Cockles,NA,NA
