iucn_sid,pop_trend,iucn_version,iucn_rgn
165704,Decreasing,2025-1,global
165712,Decreasing,2025-1,global
165717,Decreasing,2025-1,global
167946,Decreasing,2025-1,western_africa
169676,Decreasing,2025-1,global
169965,Decreasing,2025-1,global
169976,Decreasing,2025-1,global
169980,Decreasing,2025-1,global
169982,Decreasing,2025-1,global
170094,Decreasing,2025-1,global
170050,Decreasing,2025-1,global
170197,Decreasing,2025-1,mediterranean
170245,Decreasing,2025-1,mediterranean
170280,Decreasing,2025-1,mediterranean
170283,Decreasing,2025-1,mediterranean
170357,Decreasing,2025-1,mediterranean
173322,Decreasing,2025-1,global
173327,Decreasing,2025-1,global
173331,Decreasing,2025-1,global
173333,Decreasing,2025-1,global
173335,Decreasing,2025-1,global
173337,Decreasing,2025-1,global
173338,Decreasing,2025-1,global
173339,Decreasing,2025-1,global
173341,Decreasing,2025-1,global
173342,Decreasing,2025-1,global
173344,Decreasing,2025-1,global
173345,Decreasing,2025-1,global
173349,Decreasing,2025-1,global
173355,Decreasing,2025-1,global
173357,Decreasing,2025-1,global
173361,Decreasing,2025-1,global
173370,Decreasing,2025-1,global
173374,Decreasing,2025-1,global
173381,Decreasing,2025-1,global
173382,Decreasing,2025-1,global
176712,Decreasing,2025-1,global
176720,Decreasing,2025-1,global
176748,Decreasing,2025-1,global
176763,Decreasing,2025-1,global
178796,Decreasing,2025-1,global
178797,Decreasing,2025-1,global
178798,Decreasing,2025-1,global
178799,Decreasing,2025-1,global
178801,Decreasing,2025-1,global
178802,Decreasing,2025-1,global
178803,Decreasing,2025-1,global
178804,Decreasing,2025-1,global
178805,Decreasing,2025-1,global
178806,Decreasing,2025-1,global
178807,Decreasing,2025-1,global
178808,Decreasing,2025-1,global
178809,Decreasing,2025-1,global
178811,Decreasing,2025-1,global
178812,Decreasing,2025-1,global
178814,Decreasing,2025-1,global
178815,Decreasing,2025-1,global
178816,Decreasing,2025-1,global
178817,Decreasing,2025-1,global
178819,Decreasing,2025-1,global
178820,Decreasing,2025-1,global
178821,Decreasing,2025-1,global
178822,Decreasing,2025-1,global
178823,Decreasing,2025-1,global
178824,Decreasing,2025-1,global
178825,Decreasing,2025-1,global
178826,Decreasing,2025-1,global
178827,Decreasing,2025-1,global
178828,Decreasing,2025-1,global
178829,Decreasing,2025-1,global
178830,Decreasing,2025-1,global
178831,Decreasing,2025-1,global
178832,Decreasing,2025-1,global
178834,Decreasing,2025-1,global
178835,Decreasing,2025-1,global
178837,Decreasing,2025-1,global
178838,Decreasing,2025-1,global
178839,Decreasing,2025-1,global
178840,Decreasing,2025-1,global
178841,Decreasing,2025-1,global
178842,Decreasing,2025-1,global
178843,Decreasing,2025-1,global
178844,Decreasing,2025-1,global
178845,Decreasing,2025-1,global
178846,Decreasing,2025-1,global
178847,Decreasing,2025-1,global
178849,Decreasing,2025-1,global
178850,Decreasing,2025-1,global
178852,Decreasing,2025-1,global
178853,Decreasing,2025-1,global
178854,Decreasing,2025-1,global
178855,Decreasing,2025-1,global
178856,Decreasing,2025-1,global
178857,Decreasing,2025-1,global
178858,Decreasing,2025-1,global
181328,Decreasing,2025-1,global
183267,Decreasing,2025-1,global
183406,Decreasing,2025-1,global
183631,Decreasing,2025-1,global
183939,Decreasing,2025-1,global
184030,Decreasing,2025-1,global
184534,Decreasing,2025-1,northeastern_africa
184679,Decreasing,2025-1,northeastern_africa
187392,Decreasing,2025-1,global
187479,Decreasing,2025-1,global
187493,Decreasing,2025-1,global
187495,Decreasing,2025-1,global
187506,Decreasing,2025-1,global
187520,Decreasing,2025-1,global
187544,Decreasing,2025-1,global
187545,Decreasing,2025-1,global
187565,Decreasing,2025-1,global
187568,Decreasing,2025-1,global
187654,Decreasing,2025-1,global
187654,Decreasing,2025-1,mediterranean
196016,Decreasing,2025-1,global
196019,Decreasing,2025-1,global
196044,Decreasing,2025-1,global
196056,Decreasing,2025-1,global
198562,Decreasing,2025-1,mediterranean
198568,Decreasing,2025-1,mediterranean
198668,Decreasing,2025-1,mediterranean
198707,Decreasing,2025-1,mediterranean
198709,Decreasing,2025-1,mediterranean
198731,Decreasing,2025-1,mediterranean
21860,Decreasing,2025-1,mediterranean
23148,Decreasing,2025-1,mediterranean
2420,Decreasing,2025-1,global
31382,Decreasing,2025-1,global
33705,Decreasing,2025-1,global
34364,Decreasing,2025-1,global
39400,Decreasing,2025-1,global
4592,Decreasing,2025-1,global
60302,Decreasing,2025-1,global
60344,Decreasing,2025-1,northern_africa
61333,Decreasing,2025-1,global
61340,Decreasing,2025-1,global
